university_id,2024 RANK,University,Country Code,Country,SIZE,FOCUS,AGE,STATUS,Academic Reputation Score,Employer Reputation Score,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Research Network Score,Employment Outcomes Score,Employment Outcomes Rank,Student Population,International Students,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year,Citations_Count,universities_ranked_count_x,best_university_rank,Country_Avg_Overall_Score,Country_Avg_Academic_Reputation,Country_Avg_Rank,female_percentage,male_percentage,Citation_Score,Research_Output_Score,Enrollment,Undergrad_Students,Postgrad_Students,International_Students (%),Tuition_Fee_USD,Acceptance_Rate (%),Graduation_Rate (%),Employability_Rank,QS_Subject_Rank,QS_Rank,THE_Rank,ARWU_Rank,Region,Faculty_Count,Student_Faculty_Ratio,Country_Avg_International_Ratio,Research_Impact_Score,Employability_Score,Internationalization_Score,Research_Productivity_Index,Citation_Total_Score,Academic_Excellence_Score,University_Performance_Index,H_Index,Publication_Count,clean_name
U0505,951-1000,Jamia Millia Islamia,IN,India,M,CO,5,A,8.0,2.6,34.7,458.0,20.7,551.0,2.0,7.2,701.0,10235,4%,43.488,41.1,14.4,75.7,37.5,39.7,2024,898.0,16,218,38.128875,14.1375,783.3125,52.0,48.0,52.9853921,100.0,10370,6634,3736.0,259.0,52630.5,5.0,95.5,7.5,10,751-800,487.0,11.5,Asia,935.0,9.0,0.5,51.18,4.9,3.95,5.58,0.232867133,0.0,0.296990986,205.0,5356.0,jamia millia islamia
U0506,951-1000,Khon Kaen University,TH,Thailand,XL,FC,4,A,16.4,12.1,8.1,701.0,4.1,701.0,3.3,9.7,701.0,32895,2%,26.1755,23.3,15.7,35.5,36.1,35.4,2024,898.0,10,612,27.2866,24.82,1271.3,62.0,38.0,8.8,75.0,32602,19193,13409.0,1.185,52630.5,2.0,95.5,7.5,10,801-1000,925.5,11.5,Asia,1.862,17.0,0.5,27.58,10.9,4.8,472.0730397,0.847427572,658.3,0.463847859,136.0,11230.0,khon kaen university
U0507,951-1000,Lviv Polytechnic National University,UA,Ukraine,L,CO,5,A,8.1,14.8,37.2,423.0,1.8,701.0,1.1,14.0,608.0,22580,1%,23.077,22.9,11.3,34.2,18.8,27.1,2024,460.0,5,786,23.9251,8.58,1438.6,41.0,59.0,20.38259219,75.0,25087,14554,10533.0,250.0,52630.5,1.0,95.5,7.5,10,801-1000,1849.0,11.5,Europe,2.148,10.0,0.5,25.04,14.4,1.75,1.98,0.0,0.0,0.082151357,166.0,3736.0,lviv polytechnic national university
U0508,951-1000,Makerere University,UG,Uganda,XL,FC,5,A,10.2,4.7,3.4,701.0,4.6,701.0,17.8,79.5,51.0,29510,3%,33.3115,23.4,25.3,39.6,52.1,68.1,2024,673.0,1,969,33.3115,10.2,969.0,46.0,54.0,6.5,75.0,25506,14448,11058.0,4.7455,52630.5,4.0,95.5,7.5,10,1001-1200,1100.5,11.5,Africa,1468.0,24.0,0.5,33.88,42.1,9.25,0.668256131,0.672327672,570.7,0.447045038,64.0,3202.0,makerere university
U0509,951-1000,Sumy State University,UA,Ukraine,M,FC,3,A,5.6,5.7,42.4,373.0,2.3,701.0,1.2,9.7,701.0,8449,24%,37.2935,24.3,13.5,68.9,20.0,63.2,2024,460.0,5,786,23.9251,8.58,1438.6,45.0,55.0,5.2,75.0,7608,5359,2249.0,1.677,52630.5,7.0,95.5,7.5,10,701-750,1100.5,11.5,Europe,893.0,9.0,0.5,46.74,7.7,33.0,2.0,0.0,0.0,0.200869402,44.0,834.0,sumy state university
U0510,951-1000,The University of Alabama,US,United States,XL,CO,5,A,9.7,19.0,5.9,701.0,12.8,681.0,8.8,13.3,646.0,34810,4%,37.9495,26.0,21.2,64.4,46.6,39.3,2024,200.0,98,2,56.8432449,31.06530612,362.2653061,57.0,43.0,23.91664157,100.0,35682,22789,12893.0,1.283,52630.5,3.0,95.5,7.5,10,801-1000,871.0,11.5,North America,1.694,20.0,0.5,47.12,16.15,5.8,3.23,0.07962038,0.0,0.224540015,162.0,6483.0,the university of alabama
U0511,951-1000,Tokyo Metropolitan University,JP,Japan,M,CO,2,A,12.6,5.4,28.7,536.0,14.3,648.0,2.3,8.8,701.0,8903,7%,29.9065,29.8,16.2,39.2,48.0,36.5,2024,304.0,37,29,35.23782432,24.98108108,1011.972973,39.0,61.0,84.3,100.0,8789,6227,2562.0,562.0,52630.5,5.0,95.5,7.5,10,701-750,1100.5,11.5,Asia,822.0,11.0,0.5,30.0,7.1,6.6,0.939172749,0.382772783,461.3,0.324925398,77.0,1848.0,tokyo metropolitan university
U0512,951-1000,University of Baghdad,IQ,Iraq,XL,FC,4,A,9.5,11.4,30.9,507.0,1.5,701.0,14.1,31.4,243.0,77128,0%,19.6535,25.1,12.6,19.8,28.5,20.2,2024,460.0,5,1346,19.2213,4.9,1654.2,57.0,43.0,2.5,75.0,75593,52525,23068.0,96.0,52630.5,0.0,95.5,7.5,10,801-1000,745.5,11.5,Asia,6.696,10.0,0.5,16.92,21.4,1.45,3.18,0.0,0.0,0.04558475,134.0,23592.0,university of baghdad
U0513,951-1000,University of Calabria,IT,Italy,L,CO,4,A,5.7,2.0,3.9,701.0,25.7,473.0,49.6,4.7,701.0,12784,5%,41.9665,34.9,19.5,69.6,47.4,43.2,2024,460.0,18,181,47.393,24.45,458.7222222,62.0,38.0,44.76444408,100.0,10386,7437,2949.0,796.0,52630.5,8.0,95.5,7.5,10,1001-1200,654.0,11.5,Europe,954.0,24.0,0.5,49.56,3.35,5.95,0.701257862,0.422277722,658.3,0.483574091,173.0,2334.0,university of calabria
U0514,951-1000,University of Ghana,GH,Ghana,XL,FC,4,A,10.5,9.4,1.8,701.0,5.1,701.0,28.9,64.1,89.0,59744,1%,28.617,14.9,21.3,42.1,37.3,52.3,2024,460.0,2,1048,30.1295,8.2,1114.0,49.0,51.0,10.8,75.0,72334,46898,25436.0,606.0,52630.5,1.0,95.5,7.5,10,1001-1200,875.5,11.5,Africa,1497.0,25.0,0.5,33.78,36.75,3.35,1.89,0.0,0.0,0.129196525,222.0,9869.0,university of ghana
