university_name,year,rank_display,score,link,country,city,region_x,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count,region_y,university_type,qs_rank_2026,the_rank_2026,arwu_rank_2025,qs_score,the_score,arwu_score,qs_academic_rep,qs_employer_rep,qs_faculty_student,qs_citations,qs_intl_faculty,qs_intl_students,the_teaching,the_research_env,the_research_quality,the_industry,the_intl_outlook,founded,total_students,intl_students_pct,nobel_laureates,fields_medalists,ranked_in_all_3,avg_rank_all3,university_age_2026,data_sources
Academician Y.A. Buketov Karaganda University,2021,1001,,https://www.topuniversities.com/universities/eabuketov-karaganda-state-university,Kazakhstan,Karaganda,Asia,https://www.topuniversities.com/sites/default/files/academician-y.a.-buketov-karaganda-university_592560cf2aeae70239af52e9_small.jpg,Private,High,9,572,M,1.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academician Y.A. Buketov Karaganda University,2022,801-1000,,https://www.topuniversities.com/universities/eabuketov-karaganda-state-university,Kazakhstan,Karaganda,Asia,https://www.topuniversities.com/sites/default/files/academician-y.a.-buketov-karaganda-university_592560cf2aeae70239af52e9_small.jpg,Private,High,9,572,M,1.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adam Mickiewicz University, Poznań",2018,801-1000,,https://www.topuniversities.com/universities/adam-mickiewicz-university-poznan,Poland,Poznań,Europe,https://www.topuniversities.com/sites/default/files/adam-mickiewicz-university-pozna_592560e29988f300e2321163_small.jpg,Public,Very High,12,1.157,XL,2.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adam Mickiewicz University, Poznań",2019,801-1000,,https://www.topuniversities.com/universities/adam-mickiewicz-university-poznan,Poland,Poznań,Europe,https://www.topuniversities.com/sites/default/files/adam-mickiewicz-university-pozna_592560e29988f300e2321163_small.jpg,Public,Very High,12,1.157,XL,2.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adam Mickiewicz University, Poznań",2020,801-1000,,https://www.topuniversities.com/universities/adam-mickiewicz-university-poznan,Poland,Poznań,Europe,https://www.topuniversities.com/sites/default/files/adam-mickiewicz-university-pozna_592560e29988f300e2321163_small.jpg,Public,Very High,12,1.157,XL,2.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adam Mickiewicz University, Poznań",2021,801-1000,,https://www.topuniversities.com/universities/adam-mickiewicz-university-poznan,Poland,Poznań,Europe,https://www.topuniversities.com/sites/default/files/adam-mickiewicz-university-pozna_592560e29988f300e2321163_small.jpg,Public,Very High,12,1.157,XL,2.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adam Mickiewicz University, Poznań",2022,801-1000,,https://www.topuniversities.com/universities/adam-mickiewicz-university-poznan,Poland,Poznań,Europe,https://www.topuniversities.com/sites/default/files/adam-mickiewicz-university-pozna_592560e29988f300e2321163_small.jpg,Public,Very High,12,1.157,XL,2.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ain Shams University ,2017,701,,https://www.topuniversities.com/universities/ain-shams-university,Egypt,Cairo,Africa,https://www.topuniversities.com/sites/default/files/ain-shams-university-_592560cf2aeae70239af4f38_small.jpg,Public,High,14,9.128,XL,10.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ain Shams University ,2018,701-750,,https://www.topuniversities.com/universities/ain-shams-university,Egypt,Cairo,Africa,https://www.topuniversities.com/sites/default/files/ain-shams-university-_592560cf2aeae70239af4f38_small.jpg,Public,High,14,9.128,XL,10.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ain Shams University ,2019,701-750,,https://www.topuniversities.com/universities/ain-shams-university,Egypt,Cairo,Africa,https://www.topuniversities.com/sites/default/files/ain-shams-university-_592560cf2aeae70239af4f38_small.jpg,Public,High,14,9.128,XL,10.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ain Shams University ,2020,801-1000,,https://www.topuniversities.com/universities/ain-shams-university,Egypt,Cairo,Africa,https://www.topuniversities.com/sites/default/files/ain-shams-university-_592560cf2aeae70239af4f38_small.jpg,Public,High,14,9.128,XL,10.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ain Shams University ,2021,801-1000,,https://www.topuniversities.com/universities/ain-shams-university,Egypt,Cairo,Africa,https://www.topuniversities.com/sites/default/files/ain-shams-university-_592560cf2aeae70239af4f38_small.jpg,Public,High,14,9.128,XL,10.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ain Shams University ,2022,801-1000,,https://www.topuniversities.com/universities/ain-shams-university,Egypt,Cairo,Africa,https://www.topuniversities.com/sites/default/files/ain-shams-university-_592560cf2aeae70239af4f38_small.jpg,Public,High,14,9.128,XL,10.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airlangga University,2017,701,,https://www.topuniversities.com/universities/airlangga-university,Indonesia,Surabaya,Asia,https://www.topuniversities.com/sites/default/files/airlangga-university_592560cf2aeae70239af4a90_small.jpg,Public,High,9,495,L,2.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airlangga University,2018,701-750,,https://www.topuniversities.com/universities/airlangga-university,Indonesia,Surabaya,Asia,https://www.topuniversities.com/sites/default/files/airlangga-university_592560cf2aeae70239af4a90_small.jpg,Public,High,9,495,L,2.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airlangga University,2019,751-800,,https://www.topuniversities.com/universities/airlangga-university,Indonesia,Surabaya,Asia,https://www.topuniversities.com/sites/default/files/airlangga-university_592560cf2aeae70239af4a90_small.jpg,Public,High,9,495,L,2.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airlangga University,2020,651-700,,https://www.topuniversities.com/universities/airlangga-university,Indonesia,Surabaya,Asia,https://www.topuniversities.com/sites/default/files/airlangga-university_592560cf2aeae70239af4a90_small.jpg,Public,High,9,495,L,2.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
