uni_id,yr,Total_Students,Intl_Students_Count,Intl_Student_Ratio_pct,Faculty_Count,Faculty_Student_Ratio,Gender_Ratio,Female_Pct,Male_Pct,Degree_Level,UG_Count,PG_Count,Country_Avg_Rank,Univ_Ranked_Count,Best_Univ_Rank,Country_Avg_Score,Country_Avg_Acad_Rep,Country_Avg_Citations,Country_Avg_Intl_Ratio
2499,2021,7180.0,1292.0,18.0,486.0,14.77366255,52:48:00,52.0,48.0,Undergraduate & Postgraduate,3872,3308,635.68,14,357.0,31.75,34.34,30.73,12.16
226,2026,2814.0,141.0,5.0,194.0,14.50515464, 70:30:00,70.0,30.0, UNDERGRADUATE & POSTGRADUATE,2103,711,1633.16,98,351.0,24.68,24.91,23.94,9.43
1982,2024,15792.0,5685.0,36.0,834.0,18.9352518,47:53:00,47.0,53.0, Undergraduate & Postgraduate,10422,5370,629.21,256,1.0,44.21,29.31,36.0,15.65
2368,2025,24614.0,4381.0,17.79868245,1507.0,16.33311214,47:53:00,47.02670895,52.97329105,Undergraduate & Postgraduate  ,15119,9495,644.97,77,111.0,43.65,31.91,40.56,11.84
2032,2026,5923.0,415.0,7.0,337.0,17.57566766,36 : 64,36.0,64.0,UNDERGRADUATE & POSTGRADUATE,4274,1649,1349.57,120,36.0,29.01,25.61,22.27,5.48
1278,2020,6173.0,1728.0,28.0,629.0,9.813990461,32 : 68,32.0,68.0,Undergraduate & Postgraduate,3297,2876,576.3,72,46.0,40.31,40.83,40.35,19.68
2372,2025,27636.0,276.0,1.0,3253.0,8.495542576,61:39:00  ,61.0,39.0,Undergraduate & Postgraduate,17283,10353,1311.3,42,206.0,25.73,18.26,9.31,8.34
3258,2025,4840.0,242.0,5.0,359.0,13.48189415,37 : 63,37.0,63.0,Undergraduate & Postgraduate  ,2773,2067,1288.24,121,32.0,27.87,22.53,19.61,5.07
1172,2024,10237.0,921.0,9.0,886.0,11.55417607,70:30:00,70.0,30.0,undergraduate & postgraduate,5092,5145,1155.03,48,262.0,30.75,20.29,16.11,11.29
2835,2022,11545.0,2978.0,25.79471633,1175.0,9.0, 54:46:00,54.0,46.0,Undergraduate & Postgraduate,8345,3200,749.71,73,156.0,35.5,36.48,36.33,79.11
319,2026,13193.0,3562.0,27.0,947.0,13.9313622,61:39:00,61.0,39.0,Undergraduate & Postgraduate,9549,3644,373.87,43,19.0,53.68,42.18,66.97,30.67
779,2016,8234.0,82.0,1.0,753.0,10.93492696,46:54:00,45.81766264,54.18233736,Undergraduate & Postgraduate,5463,2771,578.88,17,281.0,25.53,25.27,24.91,1.41
1211,2016,12331.0,493.0,4.0,914.0,13.49124726,46:54:00,46.0,54.0,Undergraduate & Postgraduate  ,7831,4500,268.1,147,1.0,48.97,48.75,49.63,12.14
2916,2025,15401.0,3696.0,24.0,844.0,18.24763033, 59:41:00,59.0,41.0, Undergraduate & Postgraduate,10776,4625,900.23,13,274.0,32.91,17.1,12.25,17.65
3073,2024,49486.0,7918.0,16.0,5124.0,9.657689305,56:44:00,56.0,44.0,Undergraduate & Postgraduate,31925,17561,629.21,256,1.0,44.21,29.31,36.0,15.65
302,2022,9060.0,1812.0,20.0,670.0,13.52238806,56:44:00,56.0,44.0,undergraduate & postgraduate,7021,2039,503.59,117,2.0,45.11,44.69,45.1,21.23
702,2026,43519.0,8994.0,20.66762054,2970.0,14.65286195,62:38:00,62.03106676,37.96893324,Undergraduate & Postgraduate,30267,13252,616.32,72,14.0,46.0,21.88,70.61,14.17
270,2016,12615.0,4794.0,38.0,793.0,15.90794451, 46:54:00,46.0,54.0,Undergraduate & Postgraduate,8817,3798,329.32,78,2.0,43.92,43.23,42.78,28.22
911,2022,22872.0,1.951,0.00853008,953.0,24.0,53:47:00,52.72116332,47.27883668,Undergraduate & Postgraduate  ,15634,7238,374.08,85,32.0,47.36,46.64,48.12,14.71
2540,2021,34232.0,8567.0,25.02629119,4545.0,8.0,47:53:00,47.0,53.0, Undergraduate & Postgraduate  ,23095,11137,492.25,237,1.0,44.73,44.34,44.76,78.92
937,2021,30766.0,923.0,3.0,2750.0,11.18763636,40 : 60,40.0,60.0,Undergraduate & Postgraduate,21825,8941,951.49,117,24.0,24.78,25.02,24.49,4.04
867,2026,9242.0,963.0,,,13.25968436,50:50:00,50.02141124,49.97858876,Undergraduate & Postgraduate,6354,2888,943.43,23,324.0,38.94,22.8,17.82,20.04
3349,2019,33973.0,2266.0,6.670002649,3729.0,12.0,34 : 66,34.0,66.0,UNDERGRADUATE & POSTGRADUATE,23754,10219,455.6,40,17.0,39.03,39.3,39.69,189.63
2258,2026,14311.0,3211.0,22.43417545,1047.0,13.66857689,46:54:00,46.29549226,53.70450774,Undergraduate & Postgraduate,9345,4966,1402.96,37,136.0,29.34,21.31,8.96,11.19
2149,2024,49175.0,13762.0,27.98520555,2550.0,19.28431373,58:42:00,58.2215099,41.7784901,UNDERGRADUATE & POSTGRADUATE,37976,11199,1096.0,8,582.0,37.5,14.45,3.56,21.97
306,2018,16429.0,2300.0,14.0,2033.0,8.081160846,43:57:00,43.0,57.0,UNDERGRADUATE & POSTGRADUATE,13869,2560,560.8,46,140.0,34.36,34.66,33.28,116.97
1117,2019,6956.0,1517.0,21.80851064,1739.0,4.0,40 : 60  ,39.90537275,60.09462725,Undergraduate & Postgraduate,5100,1856,504.26,27,90.0,30.74,29.09,29.12,14.89
1631,2017,42718.0,5553.0,13.0,3011.0,14.18731318,49:51:00,49.0,51.0,undergraduate & postgraduate,32710,10008,297.42,77,30.0,48.53,48.86,49.14,12.77
153,2021,24087.0,4.788,0.019877942,50.0,21.0, 73:27:00,73.0,27.0,undergraduate & postgraduate,18384,5703,358.74,43,31.0,45.75,45.44,47.15,20.69
2406,2025,25342.0,8080.0,31.88444344,1223.0,20.72117743, 60:40:00  ,59.57552634,40.42447366, Undergraduate & Postgraduate,14599,10743,847.99,80,150.0,37.77,29.99,26.13,15.48
