name,slug,country,city,founded,type,students,website
Accademia Nazionale di Santa Cecilia,accademia-nazionale-di-santa-cecilia,,,,,,
Accademia Teatro alla Scala,accademia-teatro-alla-scala,Italy,Milan,1813,,,
Accademia Teatro Dimitri,accademia-teatro-dimitri,,,,,,
ACCEM,accem,Madagascar,,2008,,,
Accra Institute of Technology,accra-institute-of-technology,Ghana,Accra,2009,,,
Accra Technical University,accra-technical-university,Ghana,,1949,,,
Accrington and Rossendale College,accrington-and-rossendale-college,,,,,,
ACES Educational Center for the Arts,aces-educational-center-for-the-arts,,,,,,
Acharya Institute of Management and Sciences,acharya-institute-of-management-and-sciences,India,,1994,,,
Acharya N. G. Ranga Agricultural University,acharya-n-g-ranga-agricultural-university,India,,1964,,,
Acharya Nagarjuna University,acharya-nagarjuna-university,India,,1976,,,
Acharya Narendra Dev College,acharya-narendra-dev-college,India,,1991,,,
Acharya Narendra Deva University of Agriculture and Technology,acharya-narendra-deva-university-of-agriculture-and-technology,India,Faizabad,1975,,,
Acharya Pathasala Public School,acharya-pathasala-public-school,India,,1989,,,
Acharya Prafulla Chandra College,acharya-prafulla-chandra-college,India,,1960,,,
"Achievers University, Owo",achievers-university-owo,Nigeria,,2007,,,
Achimota School,achimota-school,,,,,,
Ackworth School,ackworth-school,,,,,,
Acland Burghley School,acland-burghley-school,,,,,,
Acropolis Institute of Pharmaceutical Education and Research,acropolis-institute-of-pharmaceutical-education-and-research,India,,2005,,,
ACS International Schools,acs-international-schools,,,,,,
Acsenda School of Management - Vancouver,acsenda-school-of-management-vancouver,Canada,,2015,,,
ACSI College,acsi-college,Philippines,,1984,,,
ACSI College-Iloilo,acsi-college-iloilo,Philippines,,1984,,,
ACT College,act-college,United States,,1983,,,
Acting International,acting-international,,,,,,
Actor's Workshop,actors-workshop,,,,,,
Actors Centre Australia,actors-centre-australia,Australia,,,,,
Actors Studio,actors-studio,,,,,,
Acupuncture and Massage College,acupuncture-and-massage-college,United States,,1983,,171,
Adam Mickiewicz University in Poznań,adam-mickiewicz-university-in-poznan,Poland,,1919,,37013,
Adam Scott Collegiate and Vocational Institute,adam-scott-collegiate-and-vocational-institute,,,,,,
Adam Smith Business School,adam-smith-business-school,United Kingdom,,1451,,,
Adam Smith College,adam-smith-college,United Kingdom,,2005,,,
Adam Smith University,adam-smith-university,United States,Saipan,1991,,,
Adam's Engineering College,adams-engineering-college,India,,1998,,,
Adama Science and Technology University,adama-science-and-technology-university,Ethiopia,Adama,2005,,,
"Adamawa State College of Education, Hong Yola, Adamawa State.",adamawa-state-college-of-education-hong-yola-adamawa-state,Nigeria,,1981,,,
"Adamawa State University, Mubi",adamawa-state-university-mubi,Nigeria,,2002,,,
Adams State University,adams-state-university,United States,,1921,,3164,
Adamson University,adamson-university,Philippines,,1932,,,
Adamson University College of Education,adamson-university-college-of-education,Philippines,,,,,
Adamson University College of Engineering,adamson-university-college-of-engineering,Philippines,,,,,
Adamson University College of Law,adamson-university-college-of-law,Philippines,,,,,
Adamson University College of Liberal Arts,adamson-university-college-of-liberal-arts,Philippines,,,,,
Adamson University Graduate School,adamson-university-graduate-school,Philippines,,,,,
Adana Alparslan Türkeş Science and Technology University,adana-alparslan-turkes-science-and-technology-university,Turkey,Adana,2011,,,
Adana Erkek Lisesi,adana-erkek-lisesi,,,,,,
Adani Institute of Infrastructure Management,adani-institute-of-infrastructure-management,India,,2009,,,
Adarsh College,adarsh-college,India,,1971,,,
Adarsh Polytechnic,adarsh-polytechnic,India,,,,,
Adarsh Vidyalaya Inter College,adarsh-vidyalaya-inter-college,India,,1952,,,
Addis Ababa Institute of Technology,addis-ababa-institute-of-technology,Ethiopia,Addis Ababa,,,,
Addis Ababa Science and Technology University,addis-ababa-science-and-technology-university,Ethiopia,Addis Ababa,2011,,,
Addis Ababa University,addis-ababa-university,Ethiopia,Addis Ababa,1950,,,
Addis Continental Institute of Public Health,addis-continental-institute-of-public-health,Ethiopia,Addis Ababa,2006,,,
Adekunle Ajasin University,adekunle-ajasin-university,Nigeria,,1999,,,
Adelaide College of Ministries,adelaide-college-of-ministries,Australia,,,,,
Adelaide College of the Arts,adelaide-college-of-the-arts,,,,,,
Adelaide University,adelaide-university,Australia,,,,,
Adeleke University,adeleke-university,Nigeria,,2011,,,
Adelphi University,adelphi-university,United States,,1896,,7584,
Aden Bowman Collegiate,aden-bowman-collegiate,,,,,,
Aden University,aden-university,Panama,Panama City,,,,
Adesh University,adesh-university,India,,2012,,,
Adeyemi College of Education,adeyemi-college-of-education,Nigeria,Ondo,1964,,,
Adi-Keih College of Arts and Social Sciences,adi-keih-college-of-arts-and-social-sciences,Eritrea,Adi Keyh,2006,,,
Adiban Institute of Higher Education,adiban-institute-of-higher-education,Iran,,2006,,,
Adigrat University,adigrat-university,Ethiopia,Adigrat,2011,,,
Adikavi Nannaya University,adikavi-nannaya-university,India,,2006,,,
Adilet Law Academy,adilet-law-academy,Kazakhstan,Almaty,1992,,,
Adiong Memorial Polytechnic State College,adiong-memorial-polytechnic-state-college,Philippines,,,,,
Aditanar College of Arts and Science,aditanar-college-of-arts-and-science,India,,1965,,,
