University_Name,Country,Region,Year,QS_Rank,National_Rank,QS_Overall_Score,Academic_Reputation,Employer_Reputation,Faculty_Student_Ratio,Citations_Per_Faculty,International_Faculty_Ratio,International_Students_Ratio,International_Research_Network,Employment_Outcomes,Sustainability,Std_Country,Std_University_Name
University of Ljubljana,Slovenia,Europe,2026,535.0,1.0,30.6,29.7,18.9,45.6,11.0,7.1,18.1,85.7,98.1,54.2,Slovenia,University of Ljubljana
Jinan University (China),China (Mainland),Asia,2026,540.0,38.0,30.5,8.6,8.7,12.3,75.3,41.6,89.1,47.2,10.5,40.5,China (Mainland),Jinan University (China)
University of Utah,United States,Americas,2026,540.0,76.0,30.5,21.8,13.1,53.8,38.3,21.2,18.2,74.5,28.3,59.6,United States,University of Utah
Ain Shams University,Egypt,Africa,2026,542.0,3.0,30.3,35.6,38.8,17.1,3.5,29.5,13.7,80.8,69.6,56.7,Egypt,Ain Shams University
Universiti Teknologi MARA - UiTM,Malaysia,Asia,2026,542.0,12.0,30.3,44.5,48.8,26.3,5.6,2.5,3.4,74.3,4.9,55.4,Malaysia,Universiti Teknologi MARA - UiTM
University of Milano-Bicocca,Italy,Europe,2026,542.0,17.0,30.3,28.6,19.2,5.2,56.0,7.3,8.3,80.8,15.0,53.6,Italy,University of Milano-Bicocca
University of the Punjab,Pakistan,Asia,2026,542.0,3.0,30.3,22.5,57.6,5.7,24.4,4.0,1.7,71.8,89.4,44.3,Pakistan,University of the Punjab
Universität Ulm,Germany,Europe,2026,546.0,33.0,30.2,10.9,10.2,83.9,43.8,47.5,30.8,67.2,3.4,38.7,Germany,Universität Ulm
University of Hawaii at Mañoa,United States,Americas,2026,546.0,77.0,30.2,21.3,10.5,32.4,51.8,25.2,11.1,84.5,13.3,60.9,United States,University of Hawaii at Mañoa
University of Windsor,Canada,Americas,2026,546.0,20.0,30.2,5.1,7.1,2.7,58.2,89.4,94.6,49.5,34.4,68.7,Canada,University of Windsor
Florida State University,United States,Americas,2026,549.0,78.0,30.1,32.7,24.0,11.4,34.1,16.4,9.0,74.5,34.8,62.5,United States,Florida State University
