University_Name,Country,Year,THE2023_Rank,Total_Students,Faculty_Student_Ratio_2023,Faculty_Count,International_Student_Ratio_2023,International_Students_Count,Gender_Ratio,Female_Percentage,Male_Percentage,Teaching_Score_2023,Research_Score_2023,Citations_Score_2023,Industry_Income_Score_2023,International_Outlook_Score_2023,Overall_Score_2023,Std_Country,Std_University_Name,Base_Match_Score
Hawler Medical University,Iraq,2023,,4152.0,7.2,576.6666666666666,1.0,42.0,63 : 37,63.0,37.0,,,,,,,Iraq,Hawler Medical University,0.0
University of Health and Allied Sciences,Ghana,2023,,6445.0,23.5,274.25531914893617,0.0,0.0,62 : 38,62.0,38.0,,,,,,,Ghana,University of Health and Allied Sciences,0.0
"University of Health Sciences, Turkey",Turkey,2023,,21322.0,9.0,2369.1111111111113,5.0,1066.0,34 : 66,34.0,66.0,,,,,,,Turkey,"University of Health Sciences, Turkey",0.0
University of the Highlands and Islands,United Kingdom,2023,,7200.0,130.9,55.00381970970206,12.0,864.0,61 : 39,61.0,39.0,,,,,,,United Kingdom,University of the Highlands and Islands,0.0
Hindustan Institute of Technology and Science,India,2023,,6033.0,12.1,498.59504132231405,1.0,60.0,36 : 64,36.0,64.0,,,,,,,India,Birla Institute of Technology and Science,88.37209302325581
Hiroshima Shudo University,Japan,2023,,4776.0,16.6,287.71084337349396,0.0,0.0,39 : 61,39.0,61.0,,,,,,,Japan,Hiroshima Shudo University,0.0
Hiroshima Institute of Technology,Japan,2023,,4628.0,25.4,182.20472440944883,0.0,0.0,10 : 90,10.0,90.0,,,,,,,Japan,Hiroshima Institute of Technology,0.0
Hitotsubashi University,Japan,2023,,6212.0,17.0,365.4117647058824,15.0,932.0,32 : 68,32.0,68.0,,,,,,,Japan,Hitotsubashi University,100.0
Huachiew Chalermprakiet University,Thailand,2023,,7297.0,16.0,456.0625,7.0,511.0,79 : 21,79.0,21.0,,,,,,,Thailand,Huachiew Chalermprakiet University,0.0
University of Human Development,Iraq,2023,,2583.0,17.1,151.05263157894737,3.0,77.0,49 : 51,49.0,51.0,,,,,,,Iraq,University of Human Development,0.0
Hyogo University of Teacher Education,Japan,2023,,1161.0,8.0,145.125,2.0,23.0,68 : 32,68.0,32.0,,,,,,,Japan,Hyogo University of Teacher Education,0.0
IFHE Hyderabad,India,2023,,6931.0,20.3,341.42857142857144,0.0,0.0,39 : 61,39.0,61.0,,,,,,,India,IFHE Hyderabad,0.0
Ignatius Ajuru University of Education,Nigeria,2023,,29785.0,75.2,396.07712765957444,0.0,0.0,49 : 51,49.0,51.0,,,,,,,Nigeria,Ignatius Ajuru University of Education,0.0
Ilma University,Pakistan,2023,,4107.0,22.4,183.3482142857143,0.0,0.0,21 : 79,21.0,79.0,,,,,,,Pakistan,Ilma University,0.0
IMT Mines Alès,France,2023,,1425.0,12.8,111.328125,15.0,214.0,31 : 69,31.0,69.0,,,,,,,France,IMT Mines Alès,0.0
Indira Gandhi Delhi Technical University for Women,India,2023,,3673.0,53.2,69.04135338345864,0.0,0.0,100 : 0,100.0,0.0,,,,,,,India,Indira Gandhi Delhi Technical University for Women,0.0
Institute of Cancer Research,United Kingdom,2023,,195.0,2.8,69.64285714285715,33.0,64.0,62 : 38,62.0,38.0,,,,,,,United Kingdom,Institute of Cancer Research,0.0
International Christian University,Japan,2023,,2913.0,12.6,231.1904761904762,11.0,320.0,61 : 39,61.0,39.0,,,,,,,Japan,International Christian University,100.0
International University of Rabat,Morocco,2023,,5830.0,33.3,175.0750750750751,2.0,117.0,51 : 49,51.0,49.0,,,,,,,Morocco,International University of Rabat,0.0
Ionian University,Greece,2023,,8169.0,41.9,194.96420047732698,3.0,245.0,53 : 47,53.0,47.0,,,,,,,Greece,Ionian University,0.0
Ion Mincu University of Architecture and Urbanism,Romania,2023,,3173.0,12.8,247.890625,4.0,127.0,71 : 29,71.0,29.0,,,,,,,Romania,Ion Mincu University of Architecture and Urbanism,0.0
Islamia College Peshawar,Pakistan,2023,,6732.0,25.5,264.0,3.0,202.0,27 : 73,27.0,73.0,,,,,,,Pakistan,Islamia College Peshawar,0.0
The Islamic University,Iraq,2023,,4152.0,9.1,456.2637362637363,2.0,83.0,70 : 30,70.0,30.0,,,,,,,Iraq,The Islamic University,0.0
Islamic University of Gaza,Palestine,2023,,17058.0,47.0,362.93617021276594,1.0,171.0,60 : 40,60.0,40.0,,,,,,,Palestine,Islamic University of Gaza,0.0
Islamic University of Madinah,Saudi Arabia,2023,,11703.0,7.7,1519.8701298701299,75.0,8777.0,4 : 96,4.0,96.0,,,,,,,Saudi Arabia,Islamic University of Madinah,100.0
Isra University,Jordan,2023,,4864.0,19.6,248.16326530612244,18.0,876.0,54 : 46,54.0,46.0,,,,,,,Jordan,Isra University,0.0
Israel Technological University,Ecuador,2023,,3070.0,34.9,87.96561604584528,1.0,31.0,42 : 58,42.0,58.0,,,,,,,Ecuador,Israel Technological University,0.0
Istanbul Aydın University,Turkey,2023,,27826.0,27.9,997.3476702508962,13.0,3617.0,51 : 49,51.0,49.0,,,,,,,Turkey,Istanbul Aydın University,0.0
Istanbul Gelişim University,Turkey,2023,,18774.0,23.4,802.3076923076924,15.0,2816.0,46 : 54,46.0,54.0,,,,,,,Turkey,Istanbul Gelişim University,0.0
IUBAT – International University of Business Agriculture and Technology,Bangladesh,2023,,6435.0,22.1,291.17647058823525,1.0,64.0,30 : 70,30.0,70.0,,,,,,,Bangladesh,IUBAT – International University of Business Agriculture and Technology,0.0
Universita IULM,,2023,,7841.0,15.9,493.1446540880503,7.0,549.0,72 : 28,72.0,28.0,,,,,,,,Universita IULM,0.0
Jabir ibn Hayyan Medical University,Iraq,2023,,1532.0,16.1,95.15527950310558,0.0,0.0,58 : 42,58.0,42.0,,,,,,,Iraq,Jabir ibn Hayyan Medical University,0.0
Japan Advanced Institute of Science and Technology (JAIST),Japan,2023,,1218.0,7.8,156.15384615384616,42.0,512.0,23 : 77,23.0,77.0,,,,,,,Japan,Japan Advanced Institute of Science and Technology (JAIST),0.0
Jashore University of Science and Technology,Bangladesh,2023,,4741.0,20.1,235.87064676616913,0.0,0.0,30 : 70,30.0,70.0,,,,,,,Bangladesh,Jashore University of Science and Technology,0.0
Jerash Private University,Jordan,2023,,3362.0,18.0,186.77777777777777,31.0,1042.0,38 : 62,38.0,62.0,,,,,,,Jordan,Jerash Private University,0.0
University of Jijel,Algeria,2023,,21228.0,20.2,1050.8910891089108,0.0,0.0,63 : 37,63.0,37.0,,,,,,,Algeria,University of Jijel,0.0
University of Jos,Nigeria,2023,,37885.0,23.4,1619.0170940170942,0.0,0.0,45 : 55,45.0,55.0,,,,,,,Nigeria,University of Lagos,88.88888888888889
Kamianets-Podіlskyi Ivan Ohiienko National University,Ukraine,2023,,2944.0,7.8,377.43589743589746,0.0,0.0,64 : 36,64.0,36.0,,,,,,,Ukraine,Kamianets-Podіlskyi Ivan Ohiienko National University,0.0
Kampala International University,Uganda,2023,,23800.0,7.0,3400.0,30.0,7140.0,45 : 55,45.0,55.0,,,,,,,Uganda,Kampala International University,0.0
Karaganda University of Kazpotrebsoyuz,Kazakhstan,2023,,5076.0,13.3,381.65413533834584,1.0,51.0,59 : 41,59.0,41.0,,,,,,,Kazakhstan,Karaganda University of Kazpotrebsoyuz,0.0
Karshi State University,Uzbekistan,2023,,13909.0,21.0,662.3333333333334,0.0,0.0,63 : 37,63.0,37.0,,,,,,,Uzbekistan,Karshi State University,0.0
Kastamonu University,Turkey,2023,,17597.0,41.0,429.1951219512195,15.0,2640.0,45 : 55,45.0,55.0,,,,,,,Turkey,Kastamonu University,0.0
Kazakh National Pedagogical University Abai,Kazakhstan,2023,,13479.0,12.6,1069.7619047619048,2.0,270.0,61 : 39,61.0,39.0,,,,,,,Kazakhstan,Kazakh National Pedagogical University Abai,100.0
University of Kelaniya,Sri Lanka,2023,,17082.0,17.1,998.9473684210526,3.0,512.0,65 : 35,65.0,35.0,,,,,,,Sri Lanka,University of Kelaniya,0.0
University of Kerbala,Iraq,2023,,20327.0,16.5,1231.939393939394,0.0,0.0,55 : 45,55.0,45.0,,,,,,,Iraq,University of Kerbala,100.0
Kermanshah University of Technology,Iran,2023,,2251.0,13.6,165.51470588235296,0.0,0.0,38 : 62,38.0,62.0,,,,,,,Iran,Kermanshah University of Technology,0.0
Kharkiv University of Humanities “People’s Ukrainian Academy”,Ukraine,2023,,455.0,5.5,82.72727272727273,1.0,5.0,81 : 19,81.0,19.0,,,,,,,Ukraine,Kharkiv University of Humanities “People’s Ukrainian Academy”,0.0
Kadir Has University,Turkey,2023,,4896.0,23.5,208.3404255319149,3.0,147.0,53 : 47,53.0,47.0,,,,,,,Turkey,Kadir Has University,0.0
Khazar University,Azerbaijan,2023,,2610.0,11.3,230.97345132743362,7.0,183.0,54 : 46,54.0,46.0,,,,,,,Azerbaijan,Khazar University,100.0
Khomein University of Medical Sciences,Iran,2023,,782.0,31.3,24.98402555910543,0.0,0.0,48 : 52,48.0,52.0,,,,,,,Iran,Khomein University of Medical Sciences,0.0
Khulna University,Bangladesh,2023,,5921.0,11.8,501.77966101694915,0.0,0.0,41 : 59,41.0,59.0,,,,,,,Bangladesh,Khulna University,100.0
Khwaja Fareed University of Engineering and Information Technology,Pakistan,2023,,10713.0,21.6,495.9722222222222,0.0,0.0,41 : 59,41.0,59.0,,,,,,,Pakistan,Khwaja Fareed University of Engineering and Information Technology,0.0
Khyber Medical University,Pakistan,2023,,4364.0,16.5,264.4848484848485,3.0,131.0,40 : 60,40.0,60.0,,,,,,,Pakistan,Khyber Medical University,0.0
Kings University,Nigeria,2023,,132.0,3.3,40.0,0.0,0.0,42 : 58,42.0,58.0,,,,,,,Nigeria,Kings University,0.0
University of Kirkuk,Iraq,2023,,22867.0,24.8,922.0564516129032,0.0,0.0,52 : 48,52.0,48.0,,,,,,,Iraq,University of Kirkuk,0.0
Kitami Institute of Technology,Japan,2023,,1965.0,14.1,139.36170212765958,4.0,79.0,13 : 87,13.0,87.0,,,,,,,Japan,Kyoto Institute of Technology,88.13559322033898
Kobe City University of Foreign Studies,Japan,2023,,2287.0,15.3,149.47712418300654,4.0,91.0,67 : 33,67.0,33.0,,,,,,,Japan,Kobe City University of Foreign Studies,0.0
Kobe Gakuin University,Japan,2023,,11557.0,34.3,336.9387755102041,2.0,231.0,38 : 62,38.0,62.0,,,,,,,Japan,Kobe Gakuin University,0.0
Kocaeli Health and Technology University,Turkey,2023,,2784.0,31.6,88.10126582278481,4.0,111.0,66 : 34,66.0,34.0,,,,,,,Turkey,Kocaeli Health and Technology University,0.0
Kokshetau State University,Kazakhstan,2023,,7047.0,11.3,623.6283185840707,5.0,352.0,65 : 35,65.0,35.0,,,,,,,Kazakhstan,Kokshetau State University,0.0
Konan Women’s University,Japan,2023,,4416.0,24.7,178.78542510121457,1.0,44.0,100 : 0,100.0,0.0,,,,,,,Japan,Konan Women’s University,0.0
Konya Technical University,Turkey,2023,,13016.0,30.1,432.4252491694352,4.0,521.0,26 : 74,26.0,74.0,,,,,,,Turkey,Konya Technical University,0.0
KTO Karatay University,Turkey,2023,,8370.0,26.2,319.46564885496184,3.0,251.0,58 : 42,58.0,42.0,,,,,,,Turkey,KTO Karatay University,0.0
Kyiv National Economic University,Ukraine,2023,,10585.0,9.4,1126.063829787234,2.0,212.0,61 : 39,61.0,39.0,,,,,,,Ukraine,Kyiv National Economic University,0.0
Kyoai Gakuen University,Japan,2023,,1089.0,19.4,56.134020618556704,4.0,44.0,66 : 34,66.0,34.0,,,,,,,Japan,Kyoai Gakuen University,0.0
Kyrgyz-Turkish Manas University,Kyrgyzstan,2023,,5448.0,14.5,375.7241379310345,17.0,926.0,72 : 28,72.0,28.0,,,,,,,Kyrgyzstan,Kyrgyz-Turkish Manas University,100.0
University of Laghouat,Algeria,2023,,34345.0,35.2,975.7102272727271,0.0,0.0,51 : 49,51.0,49.0,,,,,,,Algeria,University of Laghouat,0.0
Lagos State University,Nigeria,2023,,28289.0,37.1,762.5067385444744,0.0,0.0,50 : 50,50.0,50.0,,,,,,,Nigeria,Lagos State University,0.0
Knowledge University,Iraq,2023,,2125.0,16.6,128.01204819277106,1.0,21.0,47 : 53,47.0,53.0,,,,,,,Iraq,Knowledge University,0.0
University of Lampung,Indonesia,2023,,25782.0,19.9,1295.5778894472362,0.0,0.0,50 : 50,50.0,50.0,,,,,,,Indonesia,University of Lampung,0.0
Landmark University,Nigeria,2023,,3429.0,13.4,255.8955223880597,0.0,0.0,34 : 66,34.0,66.0,,,,,,,Nigeria,Landmark University,0.0
La Salle University,Colombia,2023,,9869.0,20.1,490.9950248756219,1.0,99.0,55 : 45,55.0,45.0,,,,,,,Colombia,La Salle University,0.0
University of Las Américas (UDLA),Ecuador,2023,,12767.0,13.7,931.8978102189782,1.0,128.0,54 : 46,54.0,46.0,,,,,,,Ecuador,University of Las Américas (UDLA),0.0
Leeds Arts University,United Kingdom,2023,,2065.0,15.3,134.9673202614379,12.0,248.0,76 : 24,76.0,24.0,,,,,,,United Kingdom,Leeds Arts University,0.0
Leeds Conservatoire,United Kingdom,2023,,1260.0,19.4,64.94845360824743,12.0,151.0,33 : 67,33.0,67.0,,,,,,,United Kingdom,Leeds Conservatoire,0.0
Leeds Trinity University,United Kingdom,2023,,3230.0,24.8,130.24193548387098,9.0,291.0,65 : 35,65.0,35.0,,,,,,,United Kingdom,Leeds Trinity University,0.0
Koya University,Iraq,2023,,4536.0,9.4,482.55319148936167,1.0,45.0,50 : 50,50.0,50.0,,,,,,,Iraq,Koya University,0.0
Lesya Ukrainka Volyn National University,Ukraine,2023,,8039.0,10.1,795.940594059406,1.0,80.0,68 : 32,68.0,32.0,,,,,,,Ukraine,Lesya Ukrainka Volyn National University,0.0
University of Liberal Arts Bangladesh,Bangladesh,2023,,4475.0,20.2,221.53465346534654,0.0,0.0,49 : 51,49.0,51.0,,,,,,,Bangladesh,University of Liberal Arts Bangladesh,0.0
Liverpool Hope University,United Kingdom,2023,,4025.0,15.2,264.8026315789474,13.0,523.0,67 : 33,67.0,33.0,,,,,,,United Kingdom,Liverpool Hope University,0.0
Liverpool Institute for Performing Arts,United Kingdom,2023,,865.0,17.3,50.0,23.0,199.0,57 : 43,57.0,43.0,,,,,,,United Kingdom,Liverpool Institute for Performing Arts,0.0
Liverpool School of Tropical Medicine,United Kingdom,2023,,210.0,2.2,95.45454545454545,39.0,82.0,65 : 35,65.0,35.0,,,,,,,United Kingdom,Liverpool School of Tropical Medicine,0.0
The LNM Institute of Information Technology,India,2023,,2136.0,22.3,95.7847533632287,0.0,0.0,17 : 83,17.0,83.0,,,,,,,India,The LNM Institute of Information Technology,0.0
Loei Rajabhat University,Thailand,2023,,7433.0,19.6,379.23469387755097,0.0,0.0,70 : 30,70.0,30.0,,,,,,,Thailand,Loei Rajabhat University,0.0
London Business School,United Kingdom,2023,,1995.0,18.1,110.22099447513811,91.0,1815.0,38 : 62,38.0,62.0,,,,,,,United Kingdom,London Business School,0.0
London School of Hygiene and Tropical Medicine,United Kingdom,2023,,825.0,1.8,458.3333333333333,62.0,512.0,70 : 30,70.0,30.0,,,,,,,United Kingdom,London School of Hygiene and Tropical Medicine,0.0
London Metropolitan University,United Kingdom,2023,,8260.0,21.5,384.1860465116279,45.0,3717.0,66 : 34,66.0,34.0,,,,,,,United Kingdom,London Metropolitan University,100.0
University of Los Lagos,Chile,2023,,5567.0,16.6,335.3614457831325,0.0,0.0,58 : 42,58.0,42.0,,,,,,,Chile,University of Los Lagos,0.0
Universidad Loyola,Spain,2023,,3319.0,13.3,249.54887218045113,4.0,133.0,65 : 35,65.0,35.0,,,,,,,Spain,Universidad Loyola,0.0
Malawi University of Science and Technology (MUST),Malawi,2023,,2356.0,12.3,191.54471544715446,0.0,0.0,28 : 72,28.0,72.0,,,,,,,Malawi,Macau University of Science and Technology,94.11764705882352
Management Development Institute (MDI),India,2023,,982.0,12.8,76.71875,0.0,0.0,21 : 79,21.0,79.0,,,,,,,India,Management Development Institute (MDI),0.0
Marian College Kuttikkanam (Autonomous),India,2023,,1755.0,17.0,103.23529411764706,0.0,0.0,52 : 48,52.0,48.0,,,,,,,India,Marian College Kuttikkanam (Autonomous),0.0
Maritime University of Szczecin,Poland,2023,,2559.0,24.7,103.60323886639677,13.0,333.0,26 : 74,26.0,74.0,,,,,,,Poland,Maritime University of Szczecin,0.0
University of Mascara,Algeria,2023,,21682.0,12.0,1806.8333333333333,0.0,0.0,61 : 39,61.0,39.0,,,,,,,Algeria,University of Mascara,0.0
Universidad Mayor,Chile,2023,,20330.0,11.0,1848.1818181818182,2.0,407.0,57 : 43,57.0,43.0,,,,,,,Chile,Universidad Mayor,0.0
University of Medellín,Colombia,2023,,9371.0,17.6,532.4431818181818,2.0,187.0,54 : 46,54.0,46.0,,,,,,,Colombia,University of Medellín,0.0
Meikai University,Japan,2023,,4326.0,16.1,268.695652173913,17.0,735.0,43 : 57,43.0,57.0,,,,,,,Japan,Meiji University,90.9090909090909
Michael and Cecilia Ibru University,Nigeria,2023,,405.0,6.9,58.69565217391304,0.0,0.0,41 : 59,41.0,59.0,,,,,,,Nigeria,Michael and Cecilia Ibru University,0.0
"Michael Okpara University of Agriculture, Umudike",Nigeria,2023,,23198.0,21.7,1069.032258064516,0.0,0.0,41 : 59,41.0,59.0,,,,,,,Nigeria,"Michael Okpara University of Agriculture, Umudike",0.0
Middle Technical University,Iraq,2023,,37101.0,26.7,1389.5505617977528,0.0,0.0,45 : 55,45.0,55.0,,,,,,,Iraq,Middle Technical University,0.0
Mindanao State University – Iligan Institute of Technology,Philippines,2023,,9348.0,18.6,502.5806451612903,0.0,0.0,60 : 40,60.0,40.0,,,,,,,Philippines,Mindanao State University – Iligan Institute of Technology,0.0
MIOTI Tech and Business School,Spain,2023,,115.0,38.3,3.0026109660574414,9.0,10.0,31 : 69,31.0,69.0,,,,,,,Spain,MIOTI Tech and Business School,0.0
Mirpur University of Science and Technology,Pakistan,2023,,7544.0,19.8,381.010101010101,0.0,0.0,44 : 56,44.0,56.0,,,,,,,Pakistan,Mirpur University of Science and Technology,0.0
University of Misan,Iraq,2023,,11855.0,15.0,790.3333333333334,0.0,0.0,51 : 49,51.0,49.0,,,,,,,Iraq,University of Misan,0.0
Misr University for Science and Technology,Egypt,2023,,24742.0,18.8,1316.063829787234,6.0,1485.0,47 : 53,47.0,53.0,,,,,,,Egypt,Misr University for Science and Technology,0.0
Mahatma Jyotiba Phule Rohilkhand University,India,2023,,3999.0,20.1,198.955223880597,0.0,0.0,31 : 69,31.0,69.0,,,,,,,India,Mahatma Jyotiba Phule Rohilkhand University,0.0
M. Kumarasamy College of Engineering,India,2023,,3772.0,11.7,322.3931623931624,0.0,0.0,27 : 73,27.0,73.0,,,,,,,India,M. Kumarasamy College of Engineering,0.0
"MNS University of Agriculture, Multan",Pakistan,2023,,3266.0,23.5,138.9787234042553,0.0,0.0,22 : 78,22.0,78.0,,,,,,,Pakistan,"MNS University of Agriculture, Multan",0.0
Modern University for Business and Science,Lebanon,2023,,1896.0,16.9,112.18934911242604,31.0,588.0,47 : 53,47.0,53.0,,,,,,,Lebanon,Modern University for Business and Science,0.0
Université Mohamed El Bachir El Ibrahimi de Bordj Bou Arréridj,Algeria,2023,,18000.0,30.9,582.5242718446602,0.0,0.0,100 : 0,100.0,0.0,,,,,,,Algeria,Université Mohamed El Bachir El Ibrahimi de Bordj Bou Arréridj,0.0
Universidad Monteávila,Venezuela,2023,,1054.0,5.7,184.91228070175438,0.0,0.0,71 : 29,71.0,29.0,,,,,,,Venezuela,Universidad Monteávila,0.0
University of Monterrey,Mexico,2023,,10814.0,31.2,346.6025641025641,1.0,108.0,61 : 39,61.0,39.0,,,,,,,Mexico,University of Monterrey,0.0
October University for Modern Sciences and Arts (MSA),Egypt,2023,,12444.0,11.4,1091.578947368421,2.0,249.0,50 : 50,50.0,50.0,,,,,,,Egypt,October University for Modern Sciences and Arts (MSA),0.0
Muban Chombueng Rajabhat University,Thailand,2023,,4951.0,17.9,276.5921787709497,0.0,0.0,62 : 38,62.0,38.0,,,,,,,Thailand,Muban Chombueng Rajabhat University,0.0
Mukogawa Women’s University,Japan,2023,,8394.0,26.4,317.9545454545455,0.0,0.0,100 : 0,100.0,0.0,,,,,,,Japan,Mukogawa Women’s University,0.0
Mulungushi University,Zambia,2023,,6988.0,54.6,127.98534798534799,0.0,0.0,41 : 59,41.0,59.0,,,,,,,Zambia,Mulungushi University,0.0
Mutah University,Jordan,2023,,11486.0,16.1,713.416149068323,15.0,1723.0,46 : 54,46.0,54.0,,,,,,,Jordan,Mutah University,100.0
Universidad Nacional de Chimborazo,Ecuador,2023,,8478.0,14.7,576.7346938775511,1.0,85.0,57 : 43,57.0,43.0,,,,,,,Ecuador,Universidad Nacional de Chimborazo,0.0
Universidad Nacional de Itapúa,Paraguay,2023,,5595.0,5.3,1055.6603773584907,0.0,0.0,59 : 41,59.0,41.0,,,,,,,Paraguay,Universidad Nacional de Itapúa,0.0
Nagoya University of Commerce & Business,Japan,2023,,3549.0,29.9,118.69565217391305,8.0,284.0,25 : 75,25.0,75.0,,,,,,,Japan,Nagoya University of Commerce & Business,0.0
Najran University,Saudi Arabia,2023,,17967.0,16.9,1063.1360946745563,1.0,180.0,69 : 31,69.0,31.0,,,,,,,Saudi Arabia,Najran University,0.0
Nakhchivan State University,Azerbaijan,2023,,7620.0,14.1,540.4255319148937,20.0,1524.0,46 : 54,46.0,54.0,,,,,,,Azerbaijan,Nakhchivan State University,0.0
Namangan Engineering Construction Institute,Uzbekistan,2023,,3881.0,11.8,328.89830508474574,0.0,0.0,18 : 82,18.0,82.0,,,,,,,Uzbekistan,Namangan Engineering Construction Institute,0.0
Namangan Institute of Engineering and Technology,Uzbekistan,2023,,5784.0,18.1,319.55801104972375,0.0,0.0,21 : 79,21.0,79.0,,,,,,,Uzbekistan,Namangan Institute of Engineering and Technology,0.0
Namangan State University,Uzbekistan,2023,,20636.0,31.9,646.8965517241379,0.0,0.0,66 : 34,66.0,34.0,,,,,,,Uzbekistan,Namangan State University,0.0
Nara Institute of Science and Technology,Japan,2023,,1043.0,5.1,204.50980392156865,24.0,250.0,23 : 77,23.0,77.0,,,,,,,Japan,Nara Institute of Science and Technology,0.0
Nara Women’s University,Japan,2023,,2612.0,6.2,421.2903225806451,5.0,131.0,100 : 0,100.0,0.0,,,,,,,Japan,Nara Women’s University,0.0
National Aviation University,Ukraine,2023,,14239.0,10.9,1306.3302752293578,5.0,712.0,39 : 61,39.0,61.0,,,,,,,Ukraine,National Aviation University,0.0
National University of Computer and Emerging Sciences,Pakistan,2023,,8291.0,14.8,560.2027027027027,2.0,166.0,22 : 78,22.0,78.0,,,,,,,Pakistan,National University of Computer and Emerging Sciences,0.0
National Film and Television School,United Kingdom,2023,,395.0,7.2,54.86111111111111,42.0,166.0,50 : 50,50.0,50.0,,,,,,,United Kingdom,National Film and Television School,0.0
National University of Medical Sciences (NUMS),Pakistan,2023,,1654.0,5.0,330.8,0.0,0.0,72 : 28,72.0,28.0,,,,,,,Pakistan,National University of Medical Sciences (NUMS),0.0
National University of Mongolia,Mongolia,2023,,18647.0,26.5,703.6603773584906,2.0,373.0,60 : 40,60.0,40.0,,,,,,,Mongolia,National University of Mongolia,0.0
National University Odessa Law Academy,Ukraine,2023,,10503.0,17.7,593.3898305084746,1.0,105.0,60 : 40,60.0,40.0,,,,,,,Ukraine,National University Odessa Law Academy,0.0
The National University of Ostroh Academy,Ukraine,2023,,3432.0,8.8,389.99999999999994,1.0,34.0,57 : 43,57.0,43.0,,,,,,,Ukraine,The National University of Ostroh Academy,0.0
National Polytechnic University of Armenia,Armenia,2023,,5742.0,8.7,660.0,2.0,115.0,20 : 80,20.0,80.0,,,,,,,Armenia,National Polytechnic University of Armenia,0.0
National University of Quilmes,Argentina,2023,,33703.0,27.3,1234.5421245421246,2.0,674.0,57 : 43,57.0,43.0,,,,,,,Argentina,National University of Quilmes,0.0
"National University of Science and Technology, Oman",Oman,2023,,3986.0,18.8,212.02127659574467,14.0,558.0,63 : 37,63.0,37.0,,,,,,,Oman,"National University of Science and Technology, Oman",0.0
"National University, Sudan",Sudan,2023,,5132.0,12.3,417.23577235772353,6.0,308.0,60 : 40,60.0,40.0,,,,,,,Sudan,"National University, Sudan",0.0
National Taichung University of Science and Technology,Taiwan,2023,,15512.0,14.9,1041.0738255033557,1.0,155.0,70 : 30,70.0,30.0,,,,,,,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),94.33962264150944
National Transport University,Ukraine,2023,,7262.0,11.5,631.4782608695652,2.0,145.0,31 : 69,31.0,69.0,,,,,,,Ukraine,National Transport University,0.0
National University of Water and Environmental Engineering,Ukraine,2023,,4344.0,9.8,443.2653061224489,3.0,130.0,34 : 66,34.0,66.0,,,,,,,Ukraine,National University of Water and Environmental Engineering,0.0
National University “Yuri Kondratyuk Poltava Polytechnic”,Ukraine,2023,,5067.0,8.1,625.5555555555555,10.0,507.0,49 : 51,49.0,51.0,,,,,,,Ukraine,National University “Yuri Kondratyuk Poltava Polytechnic”,0.0
Navoi State Pedagogical Institute,Uzbekistan,2023,,12791.0,26.4,484.5075757575758,0.0,0.0,72 : 28,72.0,28.0,,,,,,,Uzbekistan,Navoi State Pedagogical Institute,0.0
Universitas Negeri Surabaya,Indonesia,2023,,29840.0,24.5,1217.9591836734694,0.0,0.0,64 : 36,64.0,36.0,,,,,,,Indonesia,Universitas Negeri Surabaya,0.0
Newman University,United Kingdom,2023,,2325.0,17.9,129.8882681564246,12.0,279.0,76 : 24,76.0,24.0,,,,,,,United Kingdom,Newman University,0.0
Niger Delta University,Nigeria,2023,,20608.0,25.9,795.6756756756757,0.0,0.0,45 : 55,45.0,55.0,,,,,,,Nigeria,Niger Delta University,0.0
"Nigerian Police Academy, Wudil",Nigeria,2023,,3087.0,21.9,140.95890410958904,0.0,0.0,16 : 84,16.0,84.0,,,,,,,Nigeria,"Nigerian Police Academy, Wudil",0.0
Nihon Pharmaceutical University,Japan,2023,,1618.0,18.4,87.93478260869566,4.0,65.0,48 : 52,48.0,52.0,,,,,,,Japan,Nihon Pharmaceutical University,0.0
Niigata University of Health and Welfare,Japan,2023,,4410.0,17.2,256.3953488372093,0.0,0.0,51 : 49,51.0,49.0,,,,,,,Japan,Niigata University of Health and Welfare,0.0
University of Niigata Prefecture,Japan,2023,,1196.0,14.8,80.8108108108108,1.0,12.0,76 : 24,76.0,24.0,,,,,,,Japan,University of Niigata Prefecture,0.0
Nile University,Egypt,2023,,2168.0,14.4,150.55555555555554,2.0,43.0,28 : 72,28.0,72.0,,,,,,,Egypt,Nile University,100.0
Ninevah University,Iraq,2023,,3707.0,13.6,272.5735294117647,0.0,0.0,42 : 58,42.0,58.0,,,,,,,Iraq,Ninevah University,0.0
Nitte (Deemed to be University),India,2023,,4408.0,7.7,572.4675324675325,1.0,44.0,65 : 35,65.0,35.0,,,,,,,India,Nitte (Deemed to be University),0.0
University of Northampton,United Kingdom,2023,,9945.0,16.9,588.4615384615386,33.0,3282.0,64 : 36,64.0,36.0,,,,,,,United Kingdom,The University of Northampton,92.5925925925926
Northeast Ohio Medical University,United States,2023,,955.0,11.8,80.9322033898305,0.0,0.0,54 : 46,54.0,46.0,,,,,,,United States,Northeast Ohio Medical University,0.0
Northern Technical University,Iraq,2023,,21400.0,27.5,778.1818181818181,0.0,0.0,48 : 52,48.0,52.0,,,,,,,Iraq,Northern Technical University,0.0
Norwich University of the Arts,United Kingdom,2023,,2290.0,15.8,144.9367088607595,13.0,298.0,61 : 39,61.0,39.0,,,,,,,United Kingdom,Norwich University of the Arts,0.0
