University_Name,Country,Year,THE2023_Rank,Total_Students,Faculty_Student_Ratio_2023,Faculty_Count,International_Student_Ratio_2023,International_Students_Count,Gender_Ratio,Female_Percentage,Male_Percentage,Teaching_Score_2023,Research_Score_2023,Citations_Score_2023,Industry_Income_Score_2023,International_Outlook_Score_2023,Overall_Score_2023,Std_Country,Std_University_Name,Base_Match_Score
Columbia University,United States,2023,11.0,21781.0,4.5,4840.222222222223,38.0,8277.0,,,,89.4,87.7,97.1,44.8,79.9,89.4,United States,Columbia University,100.0
ETH Zurich,Switzerland,2023,11.0,21665.0,14.8,1463.8513513513512,41.0,8883.0,33 : 67,33.0,67.0,82.6,95.4,90.7,59.1,97.7,89.4,Switzerland,ETH Zurich (Swiss Federal Institute of Technology),100.0
The University of Chicago,United States,2023,13.0,15366.0,6.0,2561.0,36.0,5532.0,47 : 53,47.0,53.0,86.5,88.8,97.7,56.2,74.2,88.9,United States,University of Chicago,91.30434782608697
University of Pennsylvania,United States,2023,14.0,21453.0,6.3,3405.2380952380954,23.0,4934.0,53 : 47,53.0,47.0,86.0,88.8,97.0,75.8,71.5,88.8,United States,University of Pennsylvania,100.0
Johns Hopkins University,United States,2023,15.0,17584.0,4.7,3741.276595744681,29.0,5099.0,53 : 47,53.0,47.0,79.4,91.5,97.0,89.5,75.3,88.3,United States,Johns Hopkins University,100.0
Tsinghua University,,2023,16.0,38324.0,11.6,3303.793103448276,10.0,3832.0,,,,90.1,97.4,88.0,100.0,40.3,88.2,,Tsinghua University,100.0
Peking University,,2023,17.0,31994.0,10.3,3106.2135922330094,19.0,6079.0,,,,92.5,96.7,80.4,91.8,65.0,88.1,,Peking University,100.0
University of Toronto,Canada,2023,18.0,77468.0,25.8,3002.6356589147285,26.0,20142.0,56 : 44,56.0,44.0,77.3,93.3,92.8,65.5,89.7,87.4,Canada,University of Toronto,100.0
National University of Singapore,,2023,19.0,32337.0,19.8,1633.181818181818,25.0,8084.0,51 : 49,51.0,49.0,76.4,93.0,90.2,87.0,94.0,87.1,,National University of Singapore (NUS),100.0
Cornell University,United States,2023,20.0,24027.0,10.3,2332.7184466019417,26.0,6247.0,51 : 49,51.0,49.0,80.2,86.1,97.3,40.4,76.9,85.9,United States,Cornell University,100.0
"University of California, Los Angeles",United States,2023,21.0,42434.0,9.7,4374.639175257732,16.0,6789.0,56 : 44,56.0,44.0,80.4,88.9,95.4,58.8,65.0,85.8,United States,"University of California, Los Angeles (UCLA)",100.0
UCL,United Kingdom,2023,22.0,36790.0,10.3,3571.8446601941746,60.0,22074.0,59 : 41,59.0,41.0,74.5,85.4,97.9,44.5,96.7,85.7,United Kingdom,UCL (University College London),100.0
University of Michigan-Ann Arbor,United States,2023,23.0,45912.0,8.2,5599.024390243903,17.0,7805.0,50 : 50,50.0,50.0,79.3,84.6,93.6,48.7,59.2,82.9,United States,University of Michigan-Ann Arbor,100.0
New York University,United States,2023,24.0,36337.0,9.8,3707.8571428571427,42.0,15262.0,57 : 43,57.0,43.0,74.2,84.0,95.0,44.6,74.7,82.7,United States,New York University (NYU),100.0
Duke University,United States,2023,25.0,16091.0,4.2,3831.190476190476,24.0,3862.0,52 : 48,52.0,48.0,78.1,76.2,95.7,99.6,68.0,82.6,United States,Duke University,100.0
Northwestern University,United States,2023,26.0,19175.0,13.2,1452.6515151515152,20.0,3835.0,51 : 49,51.0,49.0,71.7,80.7,97.5,85.0,67.0,82.1,United States,Northwestern University,100.0
University of Washington,United States,2023,26.0,47727.0,10.8,4419.166666666666,18.0,8591.0,55 : 45,55.0,45.0,71.6,82.8,98.9,53.9,63.0,82.1,United States,University of Washington,100.0
Carnegie Mellon University,United States,2023,28.0,14305.0,12.9,1108.9147286821706,47.0,6723.0,44 : 56,44.0,56.0,65.4,81.8,98.7,55.2,80.1,81.1,United States,Carnegie Mellon University,100.0
University of Edinburgh,United Kingdom,2023,29.0,32845.0,11.8,2783.4745762711864,47.0,15437.0,62 : 38,62.0,38.0,66.9,74.5,97.1,40.9,95.6,79.8,United Kingdom,University of Edinburgh,100.0
Technical University of Munich,,2023,30.0,33960.0,40.6,836.4532019704433,36.0,12226.0,37 : 63,37.0,63.0,69.8,82.2,84.5,100.0,77.7,79.3,,Technical University of Munich,100.0
University of Hong Kong,,2023,31.0,18087.0,18.2,993.7912087912089,43.0,7777.0,54 : 46,54.0,46.0,65.6,74.1,92.4,60.6,98.7,78.5,,University of Hong Kong,0.0
