name_a,name_b,similarity_score,category,reason,country_a,country_b,source_a,source_b,years_a,years_b,count_a,count_b
Gdańsk University of Technology,GdaÅ„sk University of Technology,0.9524,Safe to Merge,Identical after removing punctuation/encoding,Poland,Poland,"the_rankings, qs_rankings",qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Poznań University of Technology,PoznaÅ„ University of Technology,0.9524,Safe to Merge,Identical after removing punctuation/encoding,Poland,Poland,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
University of Wroclaw,University of Wrocław,0.9524,Safe to Merge,Very high similarity (score >= 0.95),Poland,Poland,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Comenius University Bratislava,Comenius University in Bratislava,0.9524,Safe to Merge,Very high similarity (score >= 0.95),Slovakia,Slovakia,"the_rankings, qs_rankings",qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
King's College London,King’s College London,0.9524,Safe to Merge,Identical after removing punctuation/encoding,United Kingdom,United Kingdom,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
University of Arkansas,University of Kansas,0.9524,Safe to Merge,Very high similarity (score >= 0.95),United States,United States,the_rankings,"the_rankings, qs_rankings","[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
University of Illinois Chicago,University of Illinois at Chicago,0.9524,Safe to Merge,Very high similarity (score >= 0.95),United States,United States,the_rankings,,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
University of North Carolina at Chapel Hill,"University of North Carolina, Chapel Hill",0.9524,Safe to Merge,Minor punctuation/spacing difference (score >= 0.95),United States,United States,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
University of North Carolina at Chapel Hill,University of North Carolina. Chapel Hill,0.9524,Safe to Merge,Minor punctuation/spacing difference (score >= 0.95),United States,United States,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Universidad Nacional de Tucumà¡n,Universidad Nacional de Tucumán,0.9524,Safe to Merge,Identical after removing punctuation/encoding,Argentina,Argentina,qs_rankings,qs_rankings,"[2021, 2022]","[2023, 2024]",3,2
Universidade Federal da ParaÃ­ba,Universidade Federal da Paraíba,0.9524,Safe to Merge,Identical after removing punctuation/encoding,Brazil,Brazil,qs_rankings,qs_rankings,[2021],"[2022, 2023, 2024]",1,3
PoznaÅ„ University of Technology,Poznan University of Technology,0.9524,Safe to Merge,Very high similarity (score >= 0.95),Poland,Poland,qs_rankings,the_rankings,[2021],"[2022, 2023, 2024]",1,3
University of Batna 1,University of Batna 2,0.9524,Safe to Merge,Very high similarity (score >= 0.95),Algeria,Algeria,the_rankings,the_rankings,"[2023, 2024]",[2024],2,1
"Manipal Academy of Higher Education, Manipal, Karnataka, India",Manipal Academy of Higher Education. Manipal. Karnataka. India,0.9516,Safe to Merge,Identical after removing punctuation/encoding,India,India,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
PontifÃ­cia Universidade CatÃ³lica do Rio Grande do Sul (PUCRS),Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),0.9516,Safe to Merge,Identical after removing punctuation/encoding,Brazil,Brazil,qs_rankings,qs_rankings,[2021],"[2022, 2023, 2024]",1,3
Universidad Industrial de Santander (UIS),Universidad Industrial de Santander - UIS,0.9512,Safe to Merge,Identical after removing punctuation/encoding,Colombia,Colombia,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Tecnológico de Costa Rica -TEC,TecnolÃ³gico de Costa Rica -TEC,0.9508,Safe to Merge,Identical after removing punctuation/encoding,Costa Rica,Costa Rica,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Université Toulouse 1 Capitole,UniversitÃ© Toulouse 1 Capitole,0.9508,Safe to Merge,Identical after removing punctuation/encoding,France,France,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Humboldt-Universität zu Berlin,Humboldt-UniversitÃ¤t zu Berlin,0.9508,Safe to Merge,Identical after removing punctuation/encoding,Germany,Germany,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Technische Universität Dresden,Technische UniversitÃ¤t Dresden,0.9508,Safe to Merge,Identical after removing punctuation/encoding,Germany,Germany,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Universidad Autónoma de Madrid,Universidad AutÃ³noma de Madrid,0.9508,Safe to Merge,Identical after removing punctuation/encoding,Spain,Spain,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
