id,University_Name,Country,country_code,web_pages,QS_2024_Rank,Academic Reputation Score,Employer Reputation Score,Faculty Student Score,Citations per Faculty Score,International Faculty Score,International Students Score,International Research Network Score,Employment Outcomes Score,Sustainability Score,QS_Overall_Score,World_Rank,National_Rank,QS_Rank,THE_Rank,ARWU_Rank,Enrollment,Undergrad_Students,Postgrad_Students,Faculty_Count,Student_Faculty_Ratio,Research_Output,International_Students (%),Tuition_Fee_USD,Acceptance_Rate (%),Graduation_Rate (%),Employability_Rank,QS_Subject_Rank,CWUR_World_Rank,CWUR_National_Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,CWUR_Score,THE_Rank_Current,Student Population,Students to Staff Ratio,International Students,THE_Overall_Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year,Established_Year,Total_Students,Number_of_Campuses,Programs_Offered,University_Type,Total_Faculty,Campus_Area_Acres,City,Region,Research_Output_New,Student_Faculty_Ratio_New,International_Students_New,Faculty_Count_New,Publications_Count,Citations_Count,Quality_of_Education,Quality_of_Faculty,Alumni_Employment,Influence,Patents,CWUR_Score_New,Quality_Publications,city,region,female_percentage,male_percentage,subject_field,research_productivity_index
5126,national university of ireland,ireland,IE,http://www.nui.ie/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5127,royal college of physicians of ireland,ireland,IE,http://www.rcpi.ie/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5128,royal college of surgeons,ireland,IE,http://www.rcsi.ie/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5129,shannon college of hotel management,ireland,IE,http://www.shannoncollege.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5130,"university of dublin, trinity college",ireland,IE,http://www.tcd.ie/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5131,university college cork,ireland,IE,http://www.ucc.ie/,=292,28.4,36.3,29.4,21.6,94.8,47.1,25.1,23.5,96.1,35.7,,,,,,,,,"1,619",10.0,High,,,,,,,525.0,3.0,-,706,-,503,73.9,367.0,"19,075",20.2,23%,50.9105,29.3,33.2,78.7,77.6,79.0,2026.0,,,,,Public,,,Cork,Europe,High,10.0,"3,002","1,619",426.0,368.0,367.0,218.0,430.0,431.0,195.0,45.03,452.0,Cork,Europe,59.0,41.0,"Art, Performing Arts & Design,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Architecture,Education,Chemistry,History, Philosophy & Theology,Electrical & Electronic Engineering,Physics & Astronomy,Accounting & Finance,Law,Sociology,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Archaeology,Computer Science,Civil Engineering,Psychology,Languages, Literature & Linguistics,Agriculture & Forestry,Other Health,Biological Sciences,Communication & Media Studies,Medicine & Dentistry,Sport Science,Business & Management,General Engineering,Mathematics & Statistics,Geography",63.3
5132,university college dublin,ireland,IE,http://www.ucd.ie/,=171,49.8,41.3,20.7,38.9,98.8,60.8,50.5,69,70.1,48.8,,,,,,,,,"1,836",12.0,Very High,,,,,,,288.0,2.0,-,264,-,252,76.9,223.0,"25,252",19.1,35%,57.4665,35.5,41.7,84.0,74.9,89.4,2026.0,,,,,Public,,,Dublin,Europe,Very High,12.0,"6,118","1,836",288.0,128.0,241.0,218.0,112.0,285.0,278.0,46.79,291.0,Dublin,Europe,,,"Accounting & Finance,Languages, Literature & Linguistics,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Economics & Econometrics,Mechanical & Aerospace Engineering,Communication & Media Studies,History, Philosophy & Theology,Electrical & Electronic Engineering,Biological Sciences,General Engineering,Chemistry,Architecture,Education,Mathematics & Statistics,Geography,Business & Management,Law,Psychology,Archaeology,Computer Science,Physics & Astronomy,Art, Performing Arts & Design,Civil Engineering,Veterinary Science,Sociology,Other Health,Sport Science",66.8
5133,university of galway,ireland,IE,"https://www.universityofgalway.ie/, https://www.nuigalway.ie/, http://www.ucg.ie/",289,26.3,28.2,61.2,13.5,92.3,39.3,45.7,30.7,90.6,36.0,,,,,,,,,,,,,,,,,,,,,,,,,356.0,"15,340",24.1,20%,51.33,30.2,34.7,76.9,86.7,77.6,2026.0,,,,,,,,,,,,,,,,,,,,,,,Galway,,59.0,41.0,"Physics & Astronomy,General Engineering,Business & Management,Civil Engineering,Electrical & Electronic Engineering,Medicine & Dentistry,Education,Art, Performing Arts & Design,Other Health,Politics & International Studies (incl Development Studies),Biological Sciences,Psychology,Mathematics & Statistics,Chemistry,History, Philosophy & Theology,Sociology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mechanical & Aerospace Engineering,Economics & Econometrics,Agriculture & Forestry,Communication & Media Studies,Law,Languages, Literature & Linguistics,Accounting & Finance,Geography,Archaeology",64.5
5134,university of limerick,ireland,IE,http://www.ul.ie/,426,17.5,29.1,14.0,21.9,88.4,28.6,34.6,13.9,58.9,26.6,,,,,,,,,952,14.0,High,,,,,,,939.0,5.0,-,620,-,906,70.6,537.0,"14,691",27.1,18%,45.53,28.6,34.6,61.7,73.1,75.0,2026.0,,,,,Public,,,Limerick,Europe,High,14.0,1.857,952,892.0,812.0,367.0,218.0,529.0,863.0,516.0,44.05,867.0,Limerick,Europe,50.0,50.0,,57.53333333
5135,waterford institute of technology,ireland,IE,http://www.wit.ie/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5136,technological university dublin,ireland,IE,https://tudublin.ie,851-900,12.1,12.4,12.6,3.1,32.7,39.6,5.0,13.1,16.9,-,,,,,,,,,1.445,15.0,High,,,,,,,,,,,,,,1256.0,"19,364",17.0,22%,31.1205,17.6,14.7,48.8,54.7,64.5,2026.0,,,,,Public,,,Dublin,Europe,High,15.0,4.118,1.445,,,,,,,,,,Dublin,Europe,44.0,56.0,,41.56666667
5137,munster technological university,ireland,IE,https://www.mtu.ie/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5138,dundalk institute of technology,ireland,IE,https://www.dkit.ie/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5139,université des antilles et de la guyane,french guiana,GF,http://www.univ-ag.fr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5140,oslo school of architecture,norway,NO,http://www.aho.no/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5141,norwegian school of management bi,norway,NO,http://www.bi.no/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5142,agder university college,norway,NO,http://www.hia.no/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5143,bergen university college,norway,NO,http://www.hib.no/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5144,bodo regional university,norway,NO,http://www.hibo.no/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5145,finnmark university college,norway,NO,http://www.hifm.no/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5146,lillehammer university college,norway,NO,http://www.hil.no/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5147,molde university college,norway,NO,http://www.himolde.no/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5148,national college of art and design,norway,NO,http://www.khio.no/shks/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5149,norwegian school of economics and business administration,norway,NO,http://www.nhh.no/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5150,norwegian university of sport and physical education,norway,NO,http://www.nih.no/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5151,norway's information technology university college,norway,NO,http://www.nith.no/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5152,norwegian teacher academy for studies in religion and education,norway,NO,http://www.nla.no/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5153,agricultural university of norway,norway,NO,http://www.nlh.no/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5154,norwegian state academy of music,norway,NO,http://www.nmh.no/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5155,norwegian university of science and technology,norway,NO,http://www.ntnu.no/,=292,34.0,19.4,23.6,27.5,76.1,10.3,88.9,51,65.7,35.7,,,,,,,,,,,,,,,,,,176.0,2.0,254,508,60,258,79.2,331.0,"38,384",15.0,9%,52.636500000000005,36.7,39.1,75.9,71.4,64.6,2026.0,,,,,Public,,,Trondheim,Europe,Very High,12.0,2.950,3.132,279.0,212.0,252.0,75.0,119.0,366.0,327.0,46.67,,,,,,,
