rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,normalized_name
1000232,Reporter,University of Kelaniya,,1000232,,0,,0,,0,,0,,0,Sri Lanka,"17,082",17.1,3%,65 : 35,University of Kelaniya,"Business & Management,Other Health,Chemistry,Biological Sciences,Physics & Astronomy,Art, Performing Arts & Design,Accounting & Finance,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Economics & Econometrics,Computer Science,Languages, Literature & Linguistics,Sociology,Medicine & Dentistry,History, Philosophy & Theology,Psychology,Sport Science,Communication & Media Studies,Archaeology,Geography",False,False,university of kelaniya
1000233,Reporter,University of Kerbala,,1000233,,0,,0,,0,,0,,0,Iraq,"20,327",16.5,0%,55 : 45,University of Kerbala,"Mechanical & Aerospace Engineering,Education,Economics & Econometrics,Agriculture & Forestry,General Engineering,History, Philosophy & Theology,Languages, Literature & Linguistics,Biological Sciences,Other Health,Electrical & Electronic Engineering,Veterinary Science,Civil Engineering,Physics & Astronomy,Computer Science,Mathematics & Statistics,Medicine & Dentistry,Psychology,Business & Management,Sport Science,Chemistry,Accounting & Finance,Law,Geography",False,False,university of kerbala
1000234,Reporter,Kermanshah University of Technology,,1000234,,0,,0,,0,,0,,0,Iran,"2,251",13.6,0%,38 : 62,Kermanshah University of Technology,"Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Physics & Astronomy,Computer Science",False,False,kermanshah university of technology
1000235,Reporter,Kharkiv University of Humanities “People’s Ukrainian Academy”,,1000235,,0,,0,,0,,0,,0,Ukraine,455,5.5,1%,81 : 19,Kharkiv University of Humanities “People’s Ukrainian Academy”,"Languages, Literature & Linguistics,Business & Management,Sociology,Communication & Media Studies",False,False,kharkiv university of humanities peoples ukrainian academy
1000236,Reporter,Khazar University,,1000236,,0,,0,,0,,0,,0,Azerbaijan,"2,610",11.3,7%,54 : 46,Khazar University,"Psychology,Chemical Engineering,General Engineering,Mathematics & Statistics,Geography,Economics & Econometrics,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Biological Sciences,Business & Management,Chemistry,Civil Engineering,Accounting & Finance,Veterinary Science,History, Philosophy & Theology,Education,Computer Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Physics & Astronomy,Electrical & Electronic Engineering",False,False,khazar university
1000236,Reporter,Kadir Has University,,1000236,,0,,0,,0,,0,,0,Turkey,"4,896",23.5,3%,53 : 47,Kadir Has University,"Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Accounting & Finance,Psychology,Business & Management,Biological Sciences,Art, Performing Arts & Design,Communication & Media Studies,Architecture,Politics & International Studies (incl Development Studies),Economics & Econometrics,Law,Computer Science",False,False,kadir has university
1000237,Reporter,Khomein University of Medical Sciences,,1000237,,0,,0,,0,,0,,0,Iran,782,31.3,0%,48 : 52,Khomein University of Medical Sciences,"Education,Other Health",False,False,khomein university of medical sciences
1000238,Reporter,Khulna University,,1000238,,0,,0,,0,,0,,0,Bangladesh,"5,921",11.8,0%,41 : 59,Khulna University,"Communication & Media Studies,Architecture,Geology, Environmental, Earth & Marine Sciences,Chemistry,History, Philosophy & Theology,Computer Science,Mathematics & Statistics,Languages, Literature & Linguistics,Biological Sciences,Education,Politics & International Studies (incl Development Studies),Business & Management,Physics & Astronomy,Law,Sociology,Art, Performing Arts & Design,Agriculture & Forestry,Economics & Econometrics,Electrical & Electronic Engineering",False,False,khulna university
1000239,Reporter,Khwaja Fareed University of Engineering and Information Technology,,1000239,,0,,0,,0,,0,,0,Pakistan,"10,713",21.6,0%,41 : 59,Khwaja Fareed University of Engineering and Information Technology,"Civil Engineering,Physics & Astronomy,Economics & Econometrics,Agriculture & Forestry,Electrical & Electronic Engineering,Communication & Media Studies,History, Philosophy & Theology,Computer Science,Sport Science,Politics & International Studies (incl Development Studies),Accounting & Finance,Law,Biological Sciences,Chemical Engineering,Psychology,Chemistry,Business & Management,Art, Performing Arts & Design,Other Health,General Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Education,Mechanical & Aerospace Engineering,Mathematics & Statistics",False,False,khwaja fareed university of engineering and information technology
1000240,Reporter,Khyber Medical University,,1000240,,0,,0,,0,,0,,0,Pakistan,"4,364",16.5,3%,40 : 60,Khyber Medical University,"Other Health,Medicine & Dentistry",False,False,khyber medical university
1000241,Reporter,Kings University,,1000241,,0,,0,,0,,0,,0,Nigeria,132,3.3,0%,42 : 58,Kings University,"Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Business & Management,Accounting & Finance,Communication & Media Studies,Sociology,Biological Sciences,Economics & Econometrics,Computer Science",False,False,kings university
1000242,Reporter,University of Kirkuk,,1000242,,0,,0,,0,,0,,0,Iraq,"22,867",24.8,0%,52 : 48,University of Kirkuk,"Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,Other Health,Physics & Astronomy,Education,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,History, Philosophy & Theology,Electrical & Electronic Engineering,Sport Science,Business & Management,Geography,Agriculture & Forestry,Mechanical & Aerospace Engineering,Mathematics & Statistics,Medicine & Dentistry,Psychology,Civil Engineering,Veterinary Science,Economics & Econometrics,Law,Politics & International Studies (incl Development Studies)",False,False,university of kirkuk
1000243,Reporter,Kitami Institute of Technology,,1000243,,0,,0,,0,,0,,0,Japan,"1,965",14.1,4%,13 : 87,Kitami Institute of Technology,"General Engineering,Agriculture & Forestry,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Civil Engineering,Electrical & Electronic Engineering,Biological Sciences",False,False,kitami institute of technology
1000244,Reporter,Kobe City University of Foreign Studies,,1000244,,0,,0,,0,,0,,0,Japan,"2,287",15.3,4%,67 : 33,Kobe City University of Foreign Studies,"Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics",False,False,kobe city university of foreign studies
1000245,Reporter,Kobe Gakuin University,,1000245,,0,,0,,0,,0,,0,Japan,"11,557",34.3,2%,38 : 62,Kobe Gakuin University,"Other Health,Communication & Media Studies,History, Philosophy & Theology,Economics & Econometrics,Languages, Literature & Linguistics,Accounting & Finance,Sociology,Geography,Art, Performing Arts & Design,Business & Management,Politics & International Studies (incl Development Studies),Law,Psychology",False,False,kobe gakuin university
1000246,Reporter,Kocaeli Health and Technology University,,1000246,,0,,0,,0,,0,,0,Turkey,"2,784",31.6,4%,66 : 34,Kocaeli Health and Technology University,"Electrical & Electronic Engineering,Mathematics & Statistics,Mechanical & Aerospace Engineering,Computer Science,Chemical Engineering,Art, Performing Arts & Design,Civil Engineering,Psychology,Other Health,History, Philosophy & Theology,Education,Agriculture & Forestry,Languages, Literature & Linguistics,Chemistry,Business & Management,Politics & International Studies (incl Development Studies),General Engineering,Medicine & Dentistry",False,False,kocaeli health and technology university
1000247,Reporter,Kokshetau State University,,1000247,,0,,0,,0,,0,,0,Kazakhstan,"7,047",11.3,5%,65 : 35,Kokshetau State University,Other Health,False,False,kokshetau state university
1000248,Reporter,Konan Women’s University,,1000248,,0,,0,,0,,0,,0,Japan,"4,416",24.7,1%,100 : 0,Konan Women’s University,"Sociology,Psychology,Other Health,Languages, Literature & Linguistics,Education,Communication & Media Studies",False,False,konan womens university
1000249,Reporter,Konya Technical University,,1000249,,0,,0,,0,,0,,0,Turkey,"13,016",30.1,4%,26 : 74,Konya Technical University,"Civil Engineering,Art, Performing Arts & Design,General Engineering,Computer Science,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Architecture",False,False,konya technical university
1000250,Reporter,KTO Karatay University,,1000250,,0,,0,,0,,0,,0,Turkey,"8,370",26.2,3%,58 : 42,KTO Karatay University,"Economics & Econometrics,Law,Business & Management,Mechanical & Aerospace Engineering,Computer Science,Psychology,Civil Engineering,Other Health,Communication & Media Studies,Accounting & Finance,Architecture,Electrical & Electronic Engineering,Art, Performing Arts & Design,General Engineering,Sociology,Medicine & Dentistry",False,False,kto karatay university
1000251,Reporter,Kyiv National Economic University,,1000251,,0,,0,,0,,0,,0,Ukraine,"10,585",9.4,2%,61 : 39,Kyiv National Economic University,"Psychology,Computer Science,Law,Sociology,Politics & International Studies (incl Development Studies),Geography,Accounting & Finance,Education,Economics & Econometrics,Business & Management",False,False,kyiv national economic university
1000252,Reporter,Kyoai Gakuen University,,1000252,,0,,0,,0,,0,,0,Japan,"1,089",19.4,4%,66 : 34,Kyoai Gakuen University,"Sport Science,Business & Management,History, Philosophy & Theology,Geography,Computer Science,Education,Archaeology,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Law,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Sociology,Languages, Literature & Linguistics,Psychology,Mathematics & Statistics",False,False,kyoai gakuen university
1000253,Reporter,Kyrgyz-Turkish Manas University,,1000253,,0,,0,,0,,0,,0,Kyrgyzstan,"5,448",14.5,17%,72 : 28,Kyrgyz-Turkish Manas University,"Chemical Engineering,Education,Sociology,Business & Management,Electrical & Electronic Engineering,Veterinary Science,Accounting & Finance,General Engineering,Chemistry,Economics & Econometrics,Communication & Media Studies,Archaeology,Sport Science,Languages, Literature & Linguistics,Psychology,Computer Science,Politics & International Studies (incl Development Studies)",False,False,kyrgyz turkish manas university
1000254,Reporter,University of Laghouat,,1000254,,0,,0,,0,,0,,0,Algeria,"34,345",35.2,0%,51 : 49,University of Laghouat,"Other Health,Biological Sciences,Chemical Engineering,Politics & International Studies (incl Development Studies),Computer Science,Sport Science,Architecture,Mathematics & Statistics,Business & Management,Psychology,Civil Engineering,Electrical & Electronic Engineering,Communication & Media Studies,Accounting & Finance,Sociology,General Engineering,Law,Languages, Literature & Linguistics,Chemistry",False,False,university of laghouat
