Rank;Global Rank;Institution;Country;Sector;Best Country Quartile
324;854;Aalto University;FIN;Universities;1
325;860;Eurecom;FRA;Universities;1
326;862;Universite de Lausanne *;CHE;Universities;1
327;869;Griffith University *;AUS;Universities;1
328;873;Kyushu University *;JPN;Universities;1
329;875;University of Kansas *;USA;Universities;1
330;881;Westfalische Wilhelms-Universitat Munster *;DEU;Universities;1
331;884;University of Southern Denmark;DNK;Universities;1
332;889;University of Tennessee, Knoxville *;USA;Universities;1
333;890;University of York *;GBR;Universities;1
333;890;Eindhoven University of Technology;NLD;Universities;1
333;890;Universidade Estadual de Campinas *;BRA;Universities;1
336;893;University of Houston;USA;Universities;1
337;897;Iowa State University;USA;Universities;1
338;898;Nanjing University of Information Science and Technology;CHN;Universities;1
339;905;Universitat Wien *;AUT;Universities;1
339;905;Universitat Basel *;CHE;Universities;1
341;908;Technische Universitat Berlin *;DEU;Universities;1
342;912;City University of New York *;USA;Universities;1
343;913;University of Kentucky *;USA;Universities;1
344;919;Chalmers University of Technology *;SWE;Universities;1
345;921;Linkoping University;SWE;Universities;1
345;921;Universite Claude Bernard Lyon 1 *;FRA;Universities;1
347;926;Trinity College Dublin *;IRL;Universities;1
348;930;Universidade Estadual Paulista Julio de Mesquita Filho;BRA;Universities;1
349;937;Yangzhou University;CHN;Universities;1
350;938;Virginia Commonwealth University *;USA;Universities;1
351;941;Ocean University of China;CHN;Universities;1
352;942;University of Macau;MAC;Universities;1
353;948;Universita Cattolica del Sacro Cuore;ITA;Universities;1
354;949;University of California, Riverside;USA;Universities;1
355;950;Mahidol University *;THA;Universities;1
356;955;Georgetown University *;USA;Universities;1
357;964;Medizinische Hochschule Hannover *;DEU;Universities;1
358;965;Keio University *;JPN;Universities;1
359;966;Laval University *;CAN;Universities;1
360;968;Singapore Management University;SGP;Universities;1
361;972;Heinrich Heine Universitat Dusseldorf *;DEU;Universities;1
362;974;Tufts University;USA;Universities;1
363;975;Hokkaido University *;JPN;Universities;1
364;976;National Yang Ming Chiao Tung University *;TWN;Universities;1
365;977;Singapore University of Technology and Design;SGP;Universities;2
366;983;Institute of Science Tokyo *;JPN;Universities;1
367;985;University of Central Florida;USA;Universities;1
368;988;Qatar University;QAT;Universities;1
368;988;Jagiellonian University *;POL;Universities;1
370;993;State University of New York, Stony Brook *;USA;Universities;1
371;994;East China University of Science and Technology;CHN;Universities;1
372;997;Cairo University *;EGY;Universities;1
373;1001;Universidade Federal do Rio de Janeiro *;BRA;Universities;1
374;1003;Universitat Leipzig *;DEU;Universities;1
375;1005;University of Twente;NLD;Universities;1
376;1008;Simon Fraser University;CAN;Universities;1
377;1013;Johann Wolfgang Goethe-Universitat Frankfurt am Main *;DEU;Universities;1
377;1013;Wenzhou Medical University *;CHN;Universities;1
379;1016;Universite de Strasbourg *;FRA;Universities;1
380;1020;Harbin Engineering University;CHN;Universities;1
381;1021;Aristotle University of Thessaloniki;GRC;Universities;1
382;1023;University of Leicester;GBR;Universities;1
383;1028;Oregon State University;USA;Universities;1
384;1031;Curtin University *;AUS;Universities;1
385;1036;University of Notre Dame *;USA;Universities;1
386;1037;Guangxi University;CHN;Universities;1
387;1039;Universitat Ulm *;DEU;Universities;1
388;1041;Universidad Politecnica de Madrid *;ESP;Universities;1
389;1042;University of Oklahoma *;USA;Universities;1
390;1043;Julius-Maximilians-Universitat Wurzburg *;DEU;Universities;1
391;1044;Nanjing University of Posts and Telecommunications;CHN;Universities;1
392;1045;Pohang University of Science and Technology;KOR;Universities;1
393;1047;Macquarie University *;AUS;Universities;1
394;1049;Chongqing Medical University *;CHN;Universities;1
395;1052;University of Cape Town;ZAF;Universities;1
396;1057;Shanghai Medical College of Fudan University;CHN;Universities;1
397;1059;Universite de Toulouse;FRA;Universities;1
398;1061;University of Bath;GBR;Universities;1
399;1068;Universidade Nova de Lisboa *;PRT;Universities;1
400;1072;University of Nebraska, Lincoln;USA;Universities;1
401;1082;University of Texas at San Antonio *;USA;Universities;1
402;1084;China Medical University, Taichung *;TWN;Universities;1
403;1089;University of Science, Malaysia *;MYS;Universities;1
404;1090;University of Belgrade;SRB;Universities;1
405;1091;Universiti Kebangsaan Malaysia *;MYS;Universities;1
406;1094;Hainan University;CHN;Universities;1
407;1097;Hebrew University of Jerusalem;ISR;Universities;1
408;1102;University of Strathclyde *;GBR;Universities;1
408;1102;Universite de Bordeaux *;FRA;Universities;1
410;1106;Friedrich-Schiller-Universitat Jena *;DEU;Universities;1
411;1112;Universita degli Studi di Genova;ITA;Universities;1
412;1113;Universidad de Chile *;CHL;Universities;1
413;1118;Nagoya University *;JPN;Universities;1
414;1126;University of Zagreb;HRV;Universities;1
415;1139;Qilu University of Technology;CHN;Universities;1
416;1144;Dartmouth College *;USA;Universities;1
417;1146;Northeast Agricultural University;CHN;Universities;1
418;1150;Kyungpook National University *;KOR;Universities;1
419;1153;Georg-August-Universitat Gottingen;DEU;Universities;1
420;1155;University of Oulu;FIN;Universities;1
421;1160;Queen's University;CAN;Universities;1
422;1161;University of Tehran;IRN;Universities;1
423;1164;Politecnico di Torino *;ITA;Universities;1
424;1168;Universita degli Studi di Milano-Bicocca;ITA;Universities;1
425;1171;Pontificia Universidad Catolica de Chile *;CHL;Universities;1
426;1172;Universite du Quebec en Quebec *;CAN;Universities;1
426;1172;University of Texas, Health Science Center at Houston;USA;Universities;1
428;1176;University College Cork *;IRL;Universities;1
428;1176;Radboud University Nijmegen;NLD;Universities;1
430;1179;UMass Chan Medical School;USA;Universities;1
431;1182;University of Bergen;NOR;Universities;1
431;1182;Universidad de Navarra *;ESP;Universities;1
433;1188;University of Antwerp;BEL;Universities;1
433;1188;Washington State University, Pullman *;USA;Universities;1
435;1193;Universidade de Coimbra *;PRT;Universities;1
436;1195;Technion - Israel Institute of Technology *;ISR;Universities;1
437;1196;Tampere University;FIN;Universities;1
438;1201;Chulalongkorn University;THA;Universities;1
439;1207;University of South Carolina *;USA;Universities;1
440;1210;University of Manitoba;CAN;Universities;1
441;1211;University of Texas, Dallas;USA;Universities;1
442;1212;Ningbo University *;CHN;Universities;1
443;1215;Ulsan National Institute of Science and Technology *;KOR;Universities;1
444;1218;Universite de Lille *;FRA;Universities;1
445;1221;Nantong University *;CHN;Universities;1
446;1224;Florida State University *;USA;Universities;1
447;1225;Universitat zu Koln;DEU;Universities;1
448;1226;Anhui University;CHN;Universities;1
449;1234;Guangzhou University;CHN;Universities;1
450;1239;Peking University Shenzhen Graduate School;CHN;Universities;1
451;1242;Universita degli Studi di Pavia;ITA;Universities;1
452;1244;Hangzhou Dianzi University;CHN;Universities;1
453;1248;University of Dundee;GBR;Universities;1
454;1249;Weill Cornell Medicine, Qatar;QAT;Universities;1
455;1254;University of East Anglia *;GBR;Universities;1
456;1258;University of Malaya *;MYS;Universities;1
457;1267;Universidade Federal do Rio Grande do Sul;BRA;Universities;1
458;1270;University of Missouri, Columbia *;USA;Universities;1
459;1277;Universidad de Zaragoza *;ESP;Universities;1
460;1280;Shandong University of Science and Technology;CHN;Universities;1
461;1282;University of New Mexico *;USA;Universities;1
462;1289;University of Wollongong *;AUS;Universities;1
463;1290;Wayne State University;USA;Universities;1
463;1290;Universita degli Studi di Roma Tor Vergata;ITA;Universities;1
465;1293;Sejong University;KOR;Universities;1
466;1299;Dalhousie University *;CAN;Universities;1
467;1302;York University;CAN;Universities;1
468;1305;South China Normal University;CHN;Universities;1
469;1307;University Putra Malaysia;MYS;Universities;1
