country_code,country_name,year,gdp_per_capita_usd,education_expenditure_pct_gdp,tertiary_enrollment_ratio,population,literacy_rate_pct,data_source,download_timestamp_utc
BMU,Bermuda,2022,119969.173269085,1.77583338857166,,64749.0,,World Bank API,2026-07-13 06:56:42 UTC
BMU,Bermuda,2023,132961.760796315,1.86510440752276,17.3357105255127,64698.0,,World Bank API,2026-07-13 06:56:42 UTC
BMU,Bermuda,2024,142250.433195123,,,64636.0,,World Bank API,2026-07-13 06:56:42 UTC
BTN,Bhutan,2020,3191.66906999331,5.46991778261464,16.8650740250552,770006.0,,World Bank API,2026-07-13 06:56:42 UTC
BTN,Bhutan,2021,3570.61257980872,6.5983860642268,14.7382447141292,775442.0,,World Bank API,2026-07-13 06:56:42 UTC
BTN,Bhutan,2022,3711.32767981591,7.46981980280053,14.5780698560857,780914.0,64.9100036621094,World Bank API,2026-07-13 06:56:42 UTC
BTN,Bhutan,2023,3831.32535564326,5.84518003463745,15.0074996948242,786385.0,,World Bank API,2026-07-13 06:56:42 UTC
BTN,Bhutan,2024,4228.05102403654,,13.011259392916,791524.0,,World Bank API,2026-07-13 06:56:42 UTC
BOL,Bolivia,2020,3580.96761778303,8.43710994720459,,11816299.0,93.8499984741211,World Bank API,2026-07-13 06:56:42 UTC
BOL,Bolivia,2021,4010.76053686204,7.96216011047363,,11937360.0,,World Bank API,2026-07-13 06:56:42 UTC
BOL,Bolivia,2022,4219.46113742445,7.57551002502441,,12077154.0,,World Bank API,2026-07-13 06:56:42 UTC
BOL,Bolivia,2023,4274.70820547613,7.89381980895996,,12244159.0,95.5500030517578,World Bank API,2026-07-13 06:56:42 UTC
BOL,Bolivia,2024,4421.16609889999,7.53980016708374,,12413315.0,96.7300033569336,World Bank API,2026-07-13 06:56:42 UTC
BIH,Bosnia and Herzegovina,2020,6130.31187968266,3.01954088371123,43.8039207458496,3299349.0,,World Bank API,2026-07-13 06:56:42 UTC
BIH,Bosnia and Herzegovina,2021,7295.34378682258,4.13622999191284,45.0589485168457,3244907.0,,World Bank API,2026-07-13 06:56:42 UTC
BIH,Bosnia and Herzegovina,2022,7655.59421024383,2.97012986426524,45.6063499450684,3204802.0,,World Bank API,2026-07-13 06:56:42 UTC
BIH,Bosnia and Herzegovina,2023,8663.02326458629,3.24564826597779,45.5027618408203,3185073.0,,World Bank API,2026-07-13 06:56:42 UTC
BIH,Bosnia and Herzegovina,2024,9397.90942855997,,,3164253.0,,World Bank API,2026-07-13 06:56:42 UTC
BWA,Botswana,2020,6323.2974967659,8.05833660991541,22.4017870513653,2365894.0,,World Bank API,2026-07-13 06:56:42 UTC
BWA,Botswana,2021,7807.88794570471,,21.2032904951187,2401441.0,,World Bank API,2026-07-13 06:56:42 UTC
BWA,Botswana,2022,8328.7090572666,,20.7095613715302,2439892.0,,World Bank API,2026-07-13 06:56:42 UTC
BWA,Botswana,2023,7827.30027960734,,20.5658232475186,2480244.0,,World Bank API,2026-07-13 06:56:42 UTC
BWA,Botswana,2024,7649.81663744354,,21.4087908549348,2521139.0,,World Bank API,2026-07-13 06:56:42 UTC
BRA,Brazil,2020,7074.19378337644,5.7714900970459,55.529109954834,208660842.0,94.7444114331042,World Bank API,2026-07-13 06:56:42 UTC
BRA,Brazil,2021,7972.5366498646,5.4969801902771,57.6311988830566,209550294.0,94.7726170886975,World Bank API,2026-07-13 06:56:42 UTC
BRA,Brazil,2022,9281.33334441234,5.61920976638794,61.0000915527344,210306415.0,94.376866160108,World Bank API,2026-07-13 06:56:42 UTC
BRA,Brazil,2023,10377.5892792557,,,211140729.0,94.5725490635077,World Bank API,2026-07-13 06:56:42 UTC
BRA,Brazil,2024,10310.5486973693,,69.7317733764648,211998573.0,94.7399978637695,World Bank API,2026-07-13 06:56:42 UTC
VGB,British Virgin Islands,2020,,2.70539282589676,30.475763016158,37135.0,,World Bank API,2026-07-13 06:56:42 UTC
VGB,British Virgin Islands,2021,,3.0245532067775,30.3667262969589,37809.0,,World Bank API,2026-07-13 06:56:42 UTC
VGB,British Virgin Islands,2022,,2.48401807300907,29.0409725348942,38319.0,,World Bank API,2026-07-13 06:56:42 UTC
VGB,British Virgin Islands,2023,,3.17283855528435,26.6493055555556,38985.0,,World Bank API,2026-07-13 06:56:42 UTC
VGB,British Virgin Islands,2024,,,29.5605306799337,39471.0,,World Bank API,2026-07-13 06:56:42 UTC
BRN,Brunei Darussalam,2020,26834.3592233943,,27.4692556634304,447404.0,,World Bank API,2026-07-13 06:56:42 UTC
