university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count,normalized_name,university_id,2024 RANK,2023 RANK,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE
"University of California, Los Angeles (UCLA)",2020.0,35,80.4,https://www.topuniversities.com/universities/university-california-los-angeles-ucla,United States,Los Angeles,North America,https://www.topuniversities.com/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg,Public,Very High,10.0,"6,140",XL,"4,487",university of california los angeles,U002812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seoul National University,2020.0,37,79.6,https://www.topuniversities.com/universities/seoul-national-university,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/graduate-school-of-business-seoul-national-university_553_small.jpg,Public,Very High,7.0,"1,914",L,"3,859",seoul national university,U001893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Melbourne,2020.0,38,79.5,https://www.topuniversities.com/universities/university-melbourne,Australia,Parkville,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-melbourne_399_small.jpg,Public,Very high,19.0,"21,406",S,"4,835",the university of melbourne,U002192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York University (NYU),2020.0,39,78.8,https://www.topuniversities.com/universities/new-york-university-nyu,United States,New York City,North America,https://www.topuniversities.com/sites/default/files/new-york-university-nyu_448_small.jpg,Private,Very High,6.0,"16,218",XL,"7,874",new york university,U001519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fudan University,2020.0,40,78.6,https://www.topuniversities.com/universities/fudan-university,China (Mainland),Shanghai,Asia,https://www.topuniversities.com/sites/default/files/fudan-university_218_small.jpg,Public,Very High,6.0,"5,322",L,"4,526",fudan university,U000699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAIST - Korea Advanced Institute of Science & Technology,2020.0,41,77.9,https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology,South Korea,Daejeon,Asia,https://www.topuniversities.com/sites/default/files/kaist-korea-advanced-institute-of-science-technology_324_small.jpg,Public,Very High,8.0,869,M,"1,307",kaist korea advanced institute of science and technology,U001055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Sydney,2020.0,42,77.8,https://www.topuniversities.com/universities/university-sydney,Australia,Sydney,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-sydney_592560cf2aeae70239af4cd0_small.jpg,Public,Very High,13.0,"25,940",XL,"3,571",the university of sydney,U002200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of New South Wales (UNSW Sydney),2020.0,43,77.1,https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney,Australia,Sydney,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-new-south-wales-unsw-sydney_447_small.jpg,Public,Very High,14.0,"21,603",XL,"3,219",the university of new south wales,U002193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The London School of Economics and Political Science (LSE),2020.0,44,77.0,https://www.topuniversities.com/universities/london-school-economics-political-science-lse,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_small.jpg,Public,Very High,10.0,"8,274",M,"1,172",the london school of economics and political science,U002168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"University of California, San Diego (UCSD)",2020.0,45,76.6,https://www.topuniversities.com/universities/university-california-san-diego-ucsd,United States,San Diego,North America,https://www.topuniversities.com/sites/default/files/university-of-california-san-diego-ucsd_89_small.jpg,Public,Very High,8.0,"8,567",XL,"4,545",university of california san diego,U002815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Chinese University of Hong Kong (CUHK),2020.0,46,75.9,https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-chinese-university-of-hong-kong-cuhk_123_small.jpg,Public,Very High,8.0,"6,062",L,"2,201",the chinese university of hong kong,U002152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
