university_id,university_name,country,openalex_name,institution_id,works_count,cited_by_count,h_index,i10_index,2yr_mean_citedness
U000257,Belarusian State Medical University,Belarus,Belarusian State Medical University,https://openalex.org/I53298266,2740,46207,83,567,0.5511363636363636
U000258,Belarusian State University,Belarus,Belarusian State University,https://openalex.org/I291386647,19859,490994,218,9336,1.3170064644455497
U000259,Belarusian State University of Informatics and Radioelectronics,Belarus,Belarusian State University of Informatics and Radioelectronics,https://openalex.org/I7452641,5173,55601,79,1513,0.790247160988644
U000261,Bells University of Technology,Nigeria,Bells University of Technology,https://openalex.org/I136632592,2444,22783,55,560,0.9361069836552748
U000262,Ben-Gurion University of The Negev,Israel,Ben-Gurion University of the Negev,https://openalex.org/I124227911,95507,5217007,534,92031,2.7673929961089496
U000263,Benemérita Universidad Autónoma de Puebla,Mexico,Benemérita Universidad Autónoma de Puebla,https://openalex.org/I721619,28063,1127871,336,18820,1.863741162004304
U000264,Benha University,Egypt,Benha University,https://openalex.org/I207547235,33547,602799,192,14141,2.4451416278235927
U000265,Beni-Suef University,Egypt,Beni-Suef University,https://openalex.org/I113643904,22603,618941,197,14336,3.40211766579094
U000266,Benson Idahosa University,Nigeria,Benson Idahosa University,https://openalex.org/I171217772,1138,7442,39,163,2.198473282442748
U000268,Beykent University,Turkey,Beykent University,https://openalex.org/I8666313,4743,43644,84,1013,1.5343693962940823
U000271,Bharathiar University,India,Bharathiar University,https://openalex.org/I111575329,16981,700633,229,13835,2.940243257535696
U000273,BI Norwegian Business School,Norway,BI Norwegian Business School,https://openalex.org/I181046868,7905,270778,205,3846,2.442111577684463
U000274,Bialystok University of Technology,Poland,Bialystok University of Technology,https://openalex.org/I1323121030,13442,188311,122,4989,2.735575439679111
U000275,Bielefeld University,Germany,Bielefeld University,https://openalex.org/I20121455,63870,3200820,488,49797,1.7898590701640005
U000276,Bilad Alrafidain University College,Iraq,Bilad Alrafidain University College,https://openalex.org/I4387152997,82,248,7,7,2.1666666666666665
U000278,Bilkent University,Turkey,Bilkent University,https://openalex.org/I168864056,23242,1574418,339,16699,1.6680455015511892
U000281,BINUS University,Indonesia,Binus University,https://openalex.org/I166073570,34277,255625,123,6067,0.4870001840216619
U000282,"Birkbeck, University of London",United Kingdom,"Birkbeck, University of London",https://openalex.org/I98259816,35211,1805806,443,22248,2.278737791134485
U000283,"Birla Institute of Technology and Science, Pilani",India,"Birla Institute of Technology and Science, Pilani",https://openalex.org/I74796645,22068,890431,250,18457,3.987234042553192
U000284,Birmingham City University ,United Kingdom,Birmingham City University,https://openalex.org/I12870472,16296,421900,217,7125,3.512872286723877
U000286,Biruni University,Turkey,Biruni University,https://openalex.org/I4210104933,5769,61750,80,1575,2.0728597449908923
