university_id,university_name,country,matched_name,score,institution_id,works_count,cited_by_count,h_index,i10_index,2yr_mean_citedness
U002247,Torcuato Di Tella University,Argentina,Universidad Torcuato Di Tella,91.22807017543859,https://openalex.org/I232641801,3475,70389,123,983,1.6073211314475873
U002273,Turkmen State Architecture and Construction Institute,Turkmenistan,Turkmen State Institute of Architecture and Construction,97.24770642201834,https://openalex.org/I2897726969,308,785,13,17,0.4947368421052631
U002290,Ulm University,Germany,IULM University,96.55172413793103,https://openalex.org/I200420086,2360,53209,107,829,1.2570579494799403
U002292,Ulster University,United Kingdom,University of Ulster,91.89189189189189,https://openalex.org/I138801177,61629,3532397,500,54927,3.1051476793248947
U002296,Umea University,Sweden,Umeå University,96.55172413793103,https://openalex.org/I90267481,84697,7524015,731,102100,2.690629886532216
U002307,Universidad Alberto Hurtado,Chile,Alberto Hurtado University,90.56603773584906,https://openalex.org/I3129804457,5944,35815,71,883,0.552423900789177
U002308,Universidad Anáhuac México,Mexico,Universidad Anáhuac México Sur,92.85714285714286,https://openalex.org/I210606318,388,4753,33,83,4.995098039215686
U002330,Universidad Camilo José Cela,Spain,Camilo José Cela University,90.56603773584906,https://openalex.org/I59946547,3013,78758,98,1438,2.0175953079178885
U002332,Universidad Católica Andres Bello,Venezuela,Universidad Católica Andrés Bello,93.93939393939394,https://openalex.org/I234019344,3620,5199,32,120,0.3890274314214463
U002337,Universidad Católica de La Santísima Concepción - UCSC,Chile,Universidad Católica de la Santísima Concepción,94.94949494949495,https://openalex.org/I38685851,7560,97116,97,2492,2.088216761184625
U002348,"Universidad Central ""Marta Abreu"" de Las Villas",Cuba,"Universidad Central ""Marta Abreu"" de las Villas (UCLV)",94.73684210526316,https://openalex.org/I3018837529,10772,111958,106,2434,0.5301587301587302
U002357,Universidad de Cartagena,Colombia,Universidad de Cartago,91.30434782608697,https://openalex.org/I4210163654,38,153,5,3,0.1666666666666666
U002359,Universidad de Chile,Chile,Universidad del Cine,90.0,https://openalex.org/I4210125970,115,655,14,27,0.064516129032258
U002371,Universidad de La Salle,Colombia,Universidad La Salle,93.02325581395348,https://openalex.org/I4387155938,0,0,0,0,0.0
U002372,Universidad de La Serena,Chile,Universidad de la Sierra,91.66666666666666,https://openalex.org/I4210120417,963,7112,33,182,4.483606557377049
U002388,Universidad de Panama,Panama,Universidad de Panamá,97.5609756097561,https://openalex.org/I106845459,9242,77840,102,1670,0.4768716577540107
U002389,Universidad de Panamá - UP,Panama,Universidad de Panamá,93.02325581395348,https://openalex.org/I106845459,9242,77840,102,1670,0.4768716577540107
U002393,Universidad de San Carlos de Guatemala - USAC,Guatemala,Universidad de San Carlos de Guatemala,93.82716049382715,https://openalex.org/I156341307,7681,56710,103,1051,0.548710050057759
