university_name,normalized_name,country,year,source
Emory University,emory university,United States,2017,QS
National Tsing Hua University,national tsing hua university,Taiwan,2017,QS
University of Waterloo,university of waterloo,Canada,2017,QS
Indian Institute of Science,indian institute of science,India,2017,QS
Université catholique de Louvain (UCLouvain),universite catholique de louvain,Belgium,2017,QS
University of Vienna,university of vienna,Austria,2017,QS
"University of California, Irvine",university of california irvine,United States,2017,QS
University of Liverpool,university of liverpool,United Kingdom,2017,QS
Dartmouth College,dartmouth college,United States,2017,QS
University of Bath,university of bath,United Kingdom,2017,QS
Universitat de Barcelona,universitat de barcelona,Spain,2017,QS
Texas A&M University,texas a and m university,United States,2017,QS
Michigan State University,michigan state university,United States,2017,QS
Albert-Ludwigs-Universitaet Freiburg,albert ludwigs universitaet freiburg,Germany,2017,QS
Technische Universität Berlin (TU Berlin),technische universitat berlin,Germany,2017,QS
The University of Exeter,the university of exeter,United Kingdom,2017,QS
CentraleSupélec,centralesupelec,France,2017,QS
Eberhard Karls Universität Tübingen,eberhard karls universitat tubingen,Germany,2017,QS
Newcastle University,newcastle university,United Kingdom,2017,QS
University of Otago,university of otago,New Zealand,2017,QS
University of Colorado Boulder,university of colorado boulder,United States,2017,QS
Hanyang University,hanyang university,South Korea,2017,QS
University of Virginia,university of virginia,United States,2017,QS
Maastricht University ,maastricht university,Netherlands,2017,QS
National Chiao Tung University,national chiao tung university,Taiwan,2017,QS
University of Reading,university of reading,United Kingdom,2017,QS
University College Dublin,university college dublin,Ireland,2017,QS
University of Göttingen,university of gottingen,Germany,2017,QS
École Normale Supérieure de Lyon,ecole normale superieure de lyon,France,2017,QS
University of Bergen,university of bergen,Norway,2017,QS
University of Twente,university of twente,Netherlands,2017,QS
University of Bern,university of bern,Switzerland,2017,QS
Vrije Universiteit Brussel (VUB),vrije universiteit brussel,Belgium,2017,QS
Politecnico di Milano,politecnico di milano,Italy,2017,QS
Technische Universität Wien,technische universitat wien,Austria,2017,QS
University of Florida,university of florida,United States,2017,QS
University of Rochester,university of rochester,United States,2017,QS
Indian Institute of Technology Delhi (IITD),indian institute of technology delhi,India,2017,QS
University of Illinois at Chicago (UIC),university of illinois at chicago,United States,2017,QS
University of Sussex,university of sussex,United Kingdom,2017,QS
King Fahd University of Petroleum & Minerals,king fahd university of petroleum and minerals,Saudi Arabia,2017,QS
Radboud University ,radboud university,Netherlands,2017,QS
Universidade Estadual de Campinas (Unicamp),universidade estadual de campinas,Brazil,2017,QS
University of Cape Town,university of cape town,South Africa,2017,QS
