university_id,university_name,country,alias,normalized_alias
U000137,Andijan State Pedagogical Institute (ASPI),Uzbekistan,Andijan State Pedagogical Institute (ASPI),andijan state pedagogical institute aspi
U000138,Andijan State University,Uzbekistan,Andijan State University,andijan state university
U000139,Andrés Bello Catholic University (UCAB),Venezuela,Andrés Bello Catholic University,andrs bello catholic university
U000139,Andrés Bello Catholic University (UCAB),Venezuela,Andrés Bello Catholic University (UCAB),andrs bello catholic university ucab
U000140,Anglia Ruskin University (ARU),United Kingdom,Anglia Ruskin University,anglia ruskin university
U000140,Anglia Ruskin University (ARU),United Kingdom,Anglia Ruskin University (ARU),anglia ruskin university aru
U000141,Anglo-American University,Czech Republic,Anglo American University,anglo american university
U000141,Anglo-American University,Czech Republic,Anglo-American University,angloamerican university
U000142,Ankara Science University,Turkey,Ankara Science University,ankara science university
U000143,Ankara Üniversitesi,Turkey,Ankara Üniversitesi,ankara niversitesi
U000144,Ankara University,Turkey,Ankara University,ankara university
U000145,Ankara Yildirim Beyazit University,Turkey,Ankara Yildirim Beyazit University,ankara yildirim beyazit university
U000146,Anna University,India,Anna University,anna university
U000147,Annamalai University,India,Annamalai University,annamalai university
U000148,Antonio Nariño University,Colombia,Antonio Nariño University,antonio nario university
U000149,Aoyama Gakuin University,Japan,Aoyama Gakuin University,aoyama gakuin university
U000150,Applied Science Private University,Jordan,Applied Science Private University,applied science private university
U000151,Applied Science University - Bahrain,Bahrain,Applied Science University - Bahrain,applied science university bahrain
U000151,Applied Science University - Bahrain,Bahrain,Applied Science University Bahrain,applied science university bahrain
U000152,"Arab Academy for Science, Technology and Maritime Transport",Egypt,Arab Academy for Science Technology and Maritime Transport,arab academy for science technology and maritime transport
U000152,"Arab Academy for Science, Technology and Maritime Transport",Egypt,"Arab Academy for Science, Technology and Maritime Transport",arab academy for science technology and maritime transport
U000153,Arab American University,Palestine,Arab American University,arab american university
U000154,Arab Open University,Kuwait,Arab Open University,arab open university
U000155,Arab Open University – Kuwait,Kuwait,Arab Open University – Kuwait,arab open university kuwait
U000156,Arab Open University Lebanon,Lebanon,Arab Open University Lebanon,arab open university lebanon
U000157,Arabian Gulf University,Bahrain,Arabian Gulf University,arabian gulf university
U000158,Arak University,Iran,Arak University,arak university
U000159,Arak University of Medical Sciences,Iran,Arak University of Medical Sciences,arak university of medical sciences
U000160,Ariel University,Israel,Ariel University,ariel university
U000161,Aristotle University of Thessaloniki,Greece,Aristotle University of Thessaloniki,aristotle university of thessaloniki
U000162,Arizona State University,United States,Arizona State University,arizona state university
U000163,Arkin University of Creative Arts and Design (ARUCAD),Northern Cyprus,Arkin University of Creative Arts and Design,arkin university of creative arts and design
U000163,Arkin University of Creative Arts and Design (ARUCAD),Northern Cyprus,Arkin University of Creative Arts and Design (ARUCAD),arkin university of creative arts and design arucad
U000164,Armenian State Pedagogical University,Armenia,Armenian State Pedagogical University,armenian state pedagogical university
U000165,Armenian State University of Economics,Armenia,Armenian State University of Economics,armenian state university of economics
U000166,Arts et Métiers,France,Arts et Métiers,arts et mtiers
U000167,Arts University Bournemouth,United Kingdom,Arts University Bournemouth,arts university bournemouth
U000168,Arts University Plymouth,United Kingdom,Arts University Plymouth,arts university plymouth
U000169,Arturo Prat University,Chile,Arturo Prat University,arturo prat university
U000170,Asahi University,Japan,Asahi University,asahi university
U000171,Asfendiyarov Kazakh National Medical University,Kazakhstan,Asfendiyarov Kazakh National Medical University,asfendiyarov kazakh national medical university
U000172,Ashikaga University,Japan,Ashikaga University,ashikaga university
U000173,Ashur University,Iraq,Ashur University,ashur university
U000174,Ashur University College,Iraq,Ashur University College,ashur university college
U000175,Asia Pacific University of Technology and Innovation (APU),Malaysia,Asia Pacific University of Technology and Innovation,asia pacific university of technology and innovation
U000175,Asia Pacific University of Technology and Innovation (APU),Malaysia,Asia Pacific University of Technology and Innovation (APU),asia pacific university of technology and innovation apu
U000176,Asia University Taiwan,Taiwan,Asia University Taiwan,asia university taiwan
U000177,Assiut University ,Egypt,Assiut University,assiut university
U000178,Aston University,United Kingdom,Aston University,aston university
U000179,Aswan University,Egypt,Aswan University,aswan university
U000180,Ataturk University,Turkey,Ataturk University,ataturk university
U000181,Ateneo de Manila University,Philippines,Ateneo de Manila University,ateneo de manila university
U000182,Athens University of Economics and Business,Greece,Athens University of Economics and Business,athens university of economics and business
U000183,Atılım University,Turkey,Atılım University,atlm university
U000184,Atma Jaya Catholic University Jakarta,Indonesia,Atma Jaya Catholic University Jakarta,atma jaya catholic university jakarta
U000185,Atyrau University,Kazakhstan,Atyrau University,atyrau university
U000186,Auburn University,United States,Auburn University,auburn university
U000187,Auckland University of Technology (AUT),New Zealand,Auckland University of Technology,auckland university of technology
U000187,Auckland University of Technology (AUT),New Zealand,Auckland University of Technology (AUT),auckland university of technology aut
U000188,Audencia,France,Audencia,audencia
U000189,Auezov South Kazakhstan University (SKU),Kazakhstan,Auezov South Kazakhstan University,auezov south kazakhstan university
U000189,Auezov South Kazakhstan University (SKU),Kazakhstan,Auezov South Kazakhstan University (SKU),auezov south kazakhstan university sku
U000190,Augustine University,Nigeria,Augustine University,augustine university
U000191,Austral University,Argentina,Austral University,austral university
U000192,Austral University of Chile,Chile,Austral University of Chile,austral university of chile
U000193,Australian Catholic University,Australia,Australian Catholic University,australian catholic university
U000194,Australian National University,Australia,Australian National University,australian national university
U000195,Autonomous University of Baja California,Mexico,Autonomous University of Baja California,autonomous university of baja california
U000196,Autonomous University of Barcelona,Spain,Autonomous University of Barcelona,autonomous university of barcelona
U000197,Autonomous University of Chiapas,Mexico,Autonomous University of Chiapas,autonomous university of chiapas
U000198,Autonomous University of Madrid,Spain,Autonomous University of Madrid,autonomous university of madrid
U000199,Autonomous University of San Luis Potosi,Mexico,Autonomous University of San Luis Potosi,autonomous university of san luis potosi
U000200,Autonomous University of Sinaloa,Mexico,Autonomous University of Sinaloa,autonomous university of sinaloa
U000201,Azarbaijan Shahid Madani University,Iran,Azarbaijan Shahid Madani University,azarbaijan shahid madani university
U000202,Azerbaijan State Oil and Industry University,Azerbaijan,Azerbaijan State Oil and Industry University,azerbaijan state oil and industry university
U000203,Azerbaijan State University of Economics,Azerbaijan,Azerbaijan State University of Economics,azerbaijan state university of economics
U000204,Azerbaijan University of Architecture and Construction,Azerbaijan,Azerbaijan University of Architecture and Construction,azerbaijan university of architecture and construction
U000205,B. S. Abdur Rahman Crescent Institute of Science and Technology,India,B. S. Abdur Rahman Crescent Institute of Science and Technology,b s abdur rahman crescent institute of science and technology
U000206,Babcock University,Nigeria,Babcock University,babcock university
U000207,Babes-Bolyai University,Romania,Babes Bolyai University,babes bolyai university
U000207,Babes-Bolyai University,Romania,Babes-Bolyai University,babesbolyai university
U000208,Babol Noshirvani University of Technology,Iran,Babol Noshirvani University of Technology,babol noshirvani university of technology
U000209,Babol University of Medical Sciences,Iran,Babol University of Medical Sciences,babol university of medical sciences
U000210,"Bacha Khan University, Charsadda",Pakistan,Bacha Khan University Charsadda,bacha khan university charsadda
U000210,"Bacha Khan University, Charsadda",Pakistan,"Bacha Khan University, Charsadda",bacha khan university charsadda
U000211,Badji Mokhtar University – Annaba,Algeria,Badji Mokhtar University – Annaba,badji mokhtar university annaba
U000212,Badr University in Cairo (BUC),Egypt,Badr University in Cairo,badr university in cairo
U000212,Badr University in Cairo (BUC),Egypt,Badr University in Cairo (BUC),badr university in cairo buc
U000213,Bahauddin Zakariya University ,Pakistan,Bahauddin Zakariya University,bahauddin zakariya university
U000214,Bahçeşehir University,Turkey,Bahçeşehir University,baheehir university
U000215,Bahria University,Pakistan,Bahria University,bahria university
U000216,Bakrie University,Indonesia,Bakrie University,bakrie university
U000217,Baku Engineering University,Azerbaijan,Baku Engineering University,baku engineering university
U000218,Baku State University,Azerbaijan,Baku State University,baku state university
U000219,"Balochistan University of Engineering and Technology, Khuzdar",Pakistan,Balochistan University of Engineering and Technology Khuzdar,balochistan university of engineering and technology khuzdar
U000219,"Balochistan University of Engineering and Technology, Khuzdar",Pakistan,"Balochistan University of Engineering and Technology, Khuzdar",balochistan university of engineering and technology khuzdar
U000220,"Balochistan University of Information Technology, Engineering and Management Sciences (BUITEMS)",Pakistan,Balochistan University of Information Technology Engineering and Management Sciences,balochistan university of information technology engineering and management sciences
U000220,"Balochistan University of Information Technology, Engineering and Management Sciences (BUITEMS)",Pakistan,"Balochistan University of Information Technology, Engineering and Management Sciences",balochistan university of information technology engineering and management sciences
U000220,"Balochistan University of Information Technology, Engineering and Management Sciences (BUITEMS)",Pakistan,"Balochistan University of Information Technology, Engineering and Management Sciences (BUITEMS)",balochistan university of information technology engineering and management sciences buitems
U000221,"Bamidele Olumilua University of Education, Science and Technology, Ikere-Ikiti",Nigeria,Bamidele Olumilua University of Education Science and Technology Ikere-Ikiti,bamidele olumilua university of education science and technology ikereikiti
