university_id,university_name,country,source,year
U000705,Fukushima University,Japan,THE,2022
U000706,Full Sail University,United States,THE,2022
U000711,Future University in Egypt,Egypt,THE,2022
U000736,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,Pakistan,THE,2022
U000741,Glasgow School of Art,United Kingdom,THE,2022
U002926,University of Gloucestershire,United Kingdom,THE,2022
U000747,Gomal University,Pakistan,THE,2022
U000752,Government College Women University Faisalabad,Pakistan,THE,2022
U000753,"Government College Women University, Sialkot",Pakistan,THE,2022
U002155,"The Graduate University for Advanced Studies, SOKENDAI",Japan,THE,2022
U000762,Grodno State Medical University,Belarus,THE,2022
U000769,Guildhall School of Music and Drama,United Kingdom,THE,2022
U000781,Hagoromo University of International Studies,Japan,THE,2022
U000783,Hakuoh University,Japan,THE,2022
U000790,Häme University of Applied Sciences,Finland,THE,2022
U000798,Harper Adams University,United Kingdom,THE,2022
U000804,Hawler Medical University,Iraq,THE,2022
U000806,Health Sciences University of Hokkaido,Japan,THE,2022
U002948,"University of Health Sciences, Turkey",Turkey,THE,2022
U000813,Herzen State Pedagogical University of Russia,Russian Federation,THE,2022
U003304,University of the Highlands and Islands,United Kingdom,THE,2022
U000819,Hindustan Institute of Technology and Science,India,THE,2022
U000821,Hiroshima International University,Japan,THE,2022
U000822,Hiroshima Shudo University,Japan,THE,2022
U000820,Hiroshima Institute of Technology,Japan,THE,2022
U000825,Hitotsubashi University,Japan,THE,2022
U000832,Hokkaido University of Science,Japan,THE,2022
U002959,University of Human Development,Iraq,THE,2022
U000847,Humanitas University,Italy,THE,2022
U000848,Humboldt State University,United States,THE,2022
U000855,Hyogo University of Teacher Education,Japan,THE,2022
U000860,Icesi University,Colombia,THE,2022
U002161,"The ICFAI University, Jharkhand",India,THE,2022
U000863,IFHE Hyderabad,India,THE,2022
U000866,Ilam University of Medical Sciences,Iran,THE,2022
U000870,Ilma University,Pakistan,THE,2022
U000874,Imam Ja’afar Al-Sadiq University,Iraq,THE,2022
U000911,Indira Gandhi Delhi Technical University for Women,India,THE,2022
U000916,Innopolis University,Russian Federation,THE,2022
U000925,Institute of Cancer Research,United Kingdom,THE,2022
U000931,Institute of Telecommunications and Informatics of Turkmenistan,Turkmenistan,THE,2022
U000942,International Christian University,Japan,THE,2022
U000953,Ion Mincu University of Architecture and Urbanism,Romania,THE,2022
U000960,Irkutsk National Research Technical University,Russian Federation,THE,2022
U000972,Israel Technological University,Ecuador,THE,2022
U000975,Istanbul Aydın University,Turkey,THE,2022
U000977,Istanbul Bilgi University,Turkey,THE,2022
U000992,Ivano Frankivsk National Technical University of Oil and Gas,Ukraine,THE,2022
U000998,Jabir ibn Hayyan Medical University,Iraq,THE,2022
U001011,Japan University of Economics,Japan,THE,2022
U002979,University of Jijel,Algeria,THE,2022
U001031,Jinnah Sindh Medical University,Pakistan,THE,2022
U001042,Jouf University,Saudi Arabia,THE,2022
U001050,Kabardino-Balkarian State University,Russian Federation,THE,2022
U001051,Kadir Has University,Turkey,THE,2022
U001057,Kamianets-Podіlskyi Ivan Ohiienko National University,Ukraine,THE,2022
U001084,Kastamonu University,Turkey,THE,2022
U001085,Kathmandu University,Nepal,THE,2022
U001090,Kazakh National Pedagogical University Abai,Kazakhstan,THE,2022
U001096,Kazan State Medical University,Russian Federation,THE,2022
U001097,Kazan State Power Engineering University,Russian Federation,THE,2022
U001100,Keisen University,Japan,THE,2022
U001101,Kemerovo State University,Russian Federation,THE,2022
U001103,Kenyatta University,Kenya,THE,2022
U002992,University of Kerala,India,THE,2022
U002993,University of Kerbala,Iraq,THE,2022
U001106,Kermanshah University of Technology,Iran,THE,2022
U001115,Khazar University,Azerbaijan,THE,2022
U001121,Khwaja Fareed University of Engineering and Information Technology,Pakistan,THE,2022
U001129,King Edward Medical University,Pakistan,THE,2022
U002996,University of Kirkuk,Iraq,THE,2022
