year,country,region,country_avg_rank,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_citations,country_avg_international_ratio
2025,Brazil,Latin America,1415.57,89,92.0,26.63,20.52,15.93,7.67
2025,Poland,Europe,1206.26,52,258.0,33.0,21.59,17.81,11.59
2024,Bahrain,Asia,771.0,3,582.0,43.13,13.9,2.27,23.39
2021,Iran,Asia,940.66,41,312.0,27.06,27.44,26.98,1.39
2017,Lithuania,Europe,647.12,4,485.5,23.35,26.03,22.43,8.58
2021,Pakistan,Asia,935.4,20,355.0,25.17,25.92,24.72,252.35
2017,Peru,Latin America,629.17,3,485.5,27.8,23.95,29.85,4.34
2022,Kazakhstan,Asia,707.57,14,175.0,43.7,47.48,43.81,1941.09
2024,Portugal,Europe,793.03,18,253.0,35.76,29.48,37.75,16.95
2024,Romania,Europe,1336.68,29,825.5,25.91,17.2,15.85,11.27
2020,Switzerland,Europe,218.7,15,6.0,58.76,54.46,62.12,31.14
2022,Australia,Oceania,385.44,44,27.0,46.94,45.03,47.74,20.62
2026,Germany,Europe,409.72,100,22.0,51.42,45.16,47.76,22.4
2019,Sweden,Europe,215.33,14,40.0,42.1,43.8,44.66,16.74
2020,Egypt,Africa,875.0,22,395.0,25.3,25.36,25.81,1.67
2016,Thailand,Asia,680.29,7,555.0,20.25,20.22,19.59,1.43
2023,Poland,Europe,1101.81,43,288.0,28.62,17.12,14.0,11.64
2021,Taiwan,Asia,842.48,40,66.0,25.69,25.93,25.76,7.41
2026,Colombia,Latin America,1411.06,33,212.0,30.81,26.08,14.61,7.46
2017,China,Asia,771.58,26,536.0,20.2,20.26,20.41,3.12
2022,Czech Republic,Europe,943.81,21,266.0,25.62,26.02,26.27,7.75
2016,Jordan,Asia,759.5,2,743.0,16.12,19.88,14.16,18.0
2023,Czech Republic,Europe,978.68,22,290.0,28.35,13.34,11.16,16.02
2019,Venezuela,Latin America,950.5,7,775.5,26.02,26.78,24.2,270.65
2019,Portugal,Europe,616.63,15,328.0,30.03,29.82,29.0,10.54
2025,Finland,Europe,401.5,11,113.0,40.69,27.26,46.69,11.47
2018,Taiwan,Asia,664.41,34,76.0,26.96,27.06,26.87,226.32
2022,Spain,Europe,749.71,73,156.0,35.5,36.48,36.33,79.11
2024,Sri Lanka,Asia,1469.25,4,1100.5,24.2,13.29,9.73,1.0
2018,Hong Kong Sar,Asia,160.07,7,26.0,68.21,66.52,70.34,37.47
2026,Egypt,Africa,1164.33,41,347.0,33.47,25.16,18.14,5.76
2020,Germany,Europe,360.83,85,33.0,47.97,48.42,47.92,14.63
2020,Brazil,Latin America,988.03,62,116.0,25.18,26.47,25.6,114.6
